No,GND No.,Torrent/ Stream/ Canal,N,E,Current status,Best solution,Estimate (Rs)
1,502 B,Orukadawela Kadura,7.155322,80.757448,Highly bank erosion on both sides.,"A reservation need to be allocated in both sides of the stream and trees need to be planted. (Area- 2.4m, Trees- Areca nut, Kithul) ","  775, 400.00 "
2,502,Hunugala Oya,7.145768,80.76106,Side walls of Hunugal Oya Anicut was dilapidated and both of banks eroded.,"L shaped side wall need to be constructed (L-  4.5m, W- 0.3m, H- 0.9m)
?lanting Areca nut trees on banks in both sides.","  291, 400.00 "
3,502,Stream starts from Abethota Ulpatha,7.1443194,80.756882,Bank erosion on both sides.,Need to be construct as a leader drain.,"    94, 000.00 "
4,502,Yakkawana Kuda Oya (Hunugal Oya),7.146899,80.758641,Bank erosion on both sides.,"A reservation need to be allocated in both sides of the stream and trees need to be planted. (Area- 4.8m, Trees- Areca nut, Kumbuk)  ","  188, 000.00 "
5,501 E,Patti Arawa Oya,7.122472,80.768008,Soil erosion.,"A land need to be allocated in both sides of the stream and trees need to be planted. (Area- 3m, Trees- Areca nut)","  1, 280, 800.00 "
6,501 E,Mirith Hena Kadura,7.120214,80.769448,Soil erosion.,Need to be construct  a leader drain.,"  697, 400.00 "
7,501 E,Naaya Kadura,7.121893,80.766795,Soil erosion.,Need to be construct a leader drain.,"  447, 000.00 "
8,501 E,Kumara Pihilla Kadura (Enasal Arawa),7.11568,80.76968,Soil erosion of lands on both sides.,Need to be constructed as a leader drain.,"  541, 000.00 "
9,501 E,Panwaththa Oya,7.124668,80.766847,Soil erosion of lands on both sides.,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop","  188, 000.00 "
10,501 E,Panwaththa Oya Kadura,7.125043,80.766855,Soil erosion of lands on both sides.,Need to be constructed as a leader drain.,"  400, 000.00 "
11,501 E,Panwaththa Oya Mala Kadura,7.125043,80.766855,Soil erosion of lands on both sides.,Need to be constructed as a leader drain.,This is the exact coordinate in entry #12
12,501 E,Nelliwala Mala Kadura,7.125158,80.768046,Soil erosion of lands on both sides.,Need to be constructed as a leader drain.,"  200, 000.00 "
