"Table 2.7: Occupational details of the community of MWS-012 (GN-wise)","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8"
,,"Government","Semi Government","Private","Self-Occupied","Estate Worker","Agriculture","Laborer","Foreign Employment","Other","Unemployed"
"496A","Ambaliyadda1","69","2","49","8","-","184","12","2","-","18"
"496B","Arattana","72","5","150","25","-","120","-","3","-","5"
"496C","Dampola","78","7","23","16","-","218","18","8","-","20"
"494","Damunumeya","95","9","53","54","-","42","-","-","-","40"
"494E","Damunumeya North","80","8","60","10","-","65","5","3","25","6"
"495D","Delgahapitiya","135","40","100","10","-","50","25","5","-","75"
"494D","Deliwala","76","3","110","-","-","210","-","5","-","-"
"492","Diya - Udagama","36","-","52","14","-","75","-","5","-","35"
"492B","Dodamkumbura","223","1","321","13","-","253","141","12","12","73"
"494A","Dolugala","38","5","82","6","-","77","34","6","-","46"
"495","Hanguranketha","94","20","88","24","-","35","46","4","-","10"
"496","Hapuwala","71","3","121","37","-","141","92","6","-","41"
"493A","Kottala","152","8","60","21","-","51","165","12","22","60"
"493","Madanwala","94","68","42","36","-","103","43","5","-","31"
"495C","Pallemaluwa","53","10","32","18","-","38","6","6","11","10"
"495A","Pussalamankada","58","26","94","14","-","219","38","11","-","38"
"494C","Rathmetiya","51","22","200","16","-","48","-","12","-","60"
"497A","Rekitipe","60","4","142","26","-","235","8","18","39","-"
"492A","Rikillagaskada","251","122","-","112","33","52","32","7","-","-"
"492C","Walalawela","59","5","55","35","-","35","1","2","-","30"
"495B","Yati Hanguranketha","79","4","90","10","-","120","-","23","-","70"
,"Total","1,924","372","1,924","505","33","2,371","666","155","109","668"
