"Table 5.18: Total Cost Estimate for Stream Reservation Proposals","","","","","",""
"GND No","Name of the Torrent","Co ordinates","Problem","Recommendation","Estimated Cost  Rs","NA"
,,"N","E",,,
"492 B","Gorakadanda Kandura","7.151656","80.79053","Soil erosion","1. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H)","300300"
"492 B","Sellajja Kumbura Kandura","7.15474","80.78819","Soil erosion","1. Construction of leader drain across streams -1m(W)x1m(H).2. Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval","330200"
"492 B","Ampitigala Kandura","7.156907","80.78831","Soil erosion","1. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W).","300300"
"492 C","Uda Oya","7.155091","80.77932","bank erosion on both sides","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","91650"
"492","Bataketiya Kandura","7.16074","80.79512","Soil erosion","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","122200"
"492","Torrent near Balawadeniya Tank","7.15777","80.79414","Soil erosion","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","183300"
"492","Maa Pela waterfall","7.167978","80.78349","Soil erosion","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","122200"
"492","Gorakgaha Kandura","7.160902","80.78441","Soil erosion","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","122200"
"493 A","Heen Kandura","7.166362","80.78359","Soil erosion","1. Construction of leader drain across streams -1m(W)x1m(H). 2. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.3. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H)","616200"
"493 A","Kottala Kandura","7.166432","80.78519","Soil erosion","1. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H).2. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop","539500"
"493 A","Kottala Watta Kandura","7.167677","80.78595","Soil erosion","1. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H)2. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","178100"
"493","Bath Nawuma Kandura","7.162464","80.7809","Soil erosion and Madanwala Rajamaha Viharaya land area overflowing when it rains","1. Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 0.9m, top width 0.15m, 0.45m high steps x 02, each of 0.15m step width & bottom width 0.45m).2. Construction of leader drain across streams -1m(W)x1m(H)","552500"
"493","Katugashinna Kandura","7.160395","80.77847","Soil erosion","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","122200"
