"Table 5.33: Proposed interventions MWS-012","","","","",""
"Activity","Location","Number and Units","Unit Cost  LKR","Cost  LKR","Duration"
"Conduct awareness programmes","Kottala, Rathmatiya, Hapugasdeniya, Madanwala, Mihirampe, Dodambumbura","12","35,000","420,000","2025 -2026"
"Establish forest protection action groups (With fire protection items)","Kottala, Rathmatiya, Hapugasdeniya, Madanwala, Mihirampe, Dodambumbura","6","35,000","210,000","2025"
"Maintain forest boundaries","Mihirampe 11 forest
(1 km)","53 Boundary posts","900","47,700","2026"
,"Rathmatiya forest
(4.1 Km)","195 Boundary posts","900","175,500","2026"
"Erect display boards","Kottala, Rathmatiya, Hapugasdeniya, Madanwala, Mihirampe, Dodambumbura","6 Boards","38,500","231,000","2025"
"Distribute energy efficient stows","Kottala, Rathmatiya, Hapugasdeniya, Madanwala, Mihirampe, Dodambumbura","150 units","1,100","165,000","2025"
"Conversion of pine into broad leaves species & maintenance (4 years)","Hanguranketha 7-3 Sub block","8 ha","558,525","4,468,200","2026-2030"
"Introduce high yielding grass species into private lands","Kottala, Rathmatiya, Hapugasdeniya, Madanwala, Mihirampe, Dodambumbura","50 private lands","4000","200,000","2026"
"Forest restoration","Mihirampe forest","9 ha","693,855","6,244,695","2007-2031"
,"Elamallawa reservation","4 ha","707,300","2,829,200","2007-2031"
"Home garden development","Rathmatiya, Hapugasdeniya, Madanwala, Mihirampe, Dodambumbura","80 Home gardens","2000","160,000","2026"
"Boundary demarcation with Concrete posts","Katukenda Gommana","30 Boundary posts (0.5 Km)","9,000","270,000","2026"
"Enrichment planting","Katukenda Gommana","0.5 ha","772,090","386,045","2027 - 2031"
,"Gorakadanda resrvation","0.5 ha","772,090","386,045","2027 - 2031"
"Total",,,,"16,193,385",
