"Table 5.47: Recommended training programs for Livelihood development and marketing","","","","",""
"Training   Livelihood and Marketing","Target group","No of programs","Unit cost","Total Cost Rs","Agency"
"Paddy and field crop productivity improvement methods","Farmers","4","50000","200,000","DAD/DOA"
"Livestock productivity improvement methods","Farmers","3","40000","120,000","DAPH"
"Export agriculture productivity improvement","Farmers","4","40000","160,000","DEA"
"Value addition and product development","Farmers/Producers","3","75000","225,000","ITI/IDB/DEA"
"Post-harvest technology","Farmers/Collectors","2","50000","100,000","NIPHT"
"Quality assurance and standardization","Farmers/Producers","3","40000","120,000","DOA/DEA"
"Agri-technology and Equipment use","Producers/Collectors","3","50000","150,000","DOA/DEA/DAPH/ Suppliers"
"Environmentally friendly farming","Farmers","4","50000","200,000","DAD/DOA"
"Digital marketing and promotion","Farmers","2","100000","200,000","NEDA/SLTDA/SLTPB"
"Tour guide and hospitality management training","Farmers","1","60000","60,000","SLTPB"
"Training women on cottage-level industries","Women producers","4","40000","160,000","MoI - 'Vidatha'"
"Financial Management and Business Planning","Farmers/Producers","2","40000","80,000","DS Office"
"Total",,,,"1,775,000",
