"Table 5.6: Salient details of Udamaluwa Wewa, Elamullawa Wewa and Walugama Wewa","","",""
"Tank Name","Udamaluwa Wewa","Elamullawa Wewa","Walugama Wewa"
"GN","Hanguranketha","Kottala","Dodamkumbura"
"MWS","MWS-012","MWS-012","MWS-012"
"DS","Hanguranketha","Hanguranketha","Hanguranketha"
"District","Nuwara Eliya","Nuwara Eliya","Nuwara Eliya"
"Ownership","ID","DAD","ID"
"Construction",,,
"Location (Lat, Lon)","7.17886N, 80.77713E","7.17085N, 80.78449E","7.15506N, 80.78549E"
"Agro-Ecological zone",,,
"Water Surface Area (approx.) (ha)","2.3","0.21","2"
"Tank capacity (m3)",,,
"Catchment Area (gross) (km2)",,,
"Total command area (ha)",,"4.05<","100"
"Farmer Organization",,,
"F.O. registration number",,,
"Reservations are available or not",,"Yes",
"Reservations are marked or not",,"No",
"Bund","Earthen",,"Earthen"
"Bund Length (m)","300","90","110"
"Top width (m)","5","3","3"
"Visible bund height (m)","30","6","7"
"US & DS slopes (h/b)","1:02","01:02   D/S 1:2:5","1:02"
"Availability of rip rap","No","-","-"
"Spillway",,,
"Station (km+m)","RB end","RB end","RB end"
"Type","Gated CO (600)","CO","CO"
"Length (m)","5","5","15"
"Observed Afflux (m)","900","300","600"
"Duration of spilling (days)",,,"30"
"Sluices",,,
"No of Sluices (nos)","1","1","1"
"Station/s","LB","Center","Center"
"Type/s","Tower","HW","HW"
"Barrel size/s (mm)","600","150","600"
"Command area of the sluice (ha)",,,
"Observations / Damages","Nil",,"Sluice Passarella damaged"
"Recommendations",,"Desilting and tree planting with silt traps in the U/S","Desilting and tree planting in the periphery"
