"Table 5.7: Salient details of Badaladeniya Wewa, Katukenda Gommana New tank and Nikaththala Wewa","","","",""
"Tank Name","Badaladeniya Wewa","Katukenda Gommana New tank","Nikaththala Wewa","NA"
"GN","Diya Udagama","Dolugala","Hapuwala",
"MWS","MWS-012","MWS-012","MWS-012",
"DS","Hanguranketha","Hanguranketha","Hanguranketha",
"District","Nuwara Eliya","Nuwara Eliya","Nuwara Eliya",
"Ownership",,"DAD","DAD",
"Construction",,,,
"Location (Lat, Lon)","7.15944N, 80.79406E","7.16685N, 80.76523E","7.16968N, 80.75897E",
"Agro-Ecological zone",,,,
"Water Surface Area (approx.) (ha)","0.06","0.2","0.06",
"Tank capacity (m3)",,,,
"Catchment Area (gross) (km2)",,,,
"Total command area (ha)","2.02",,"4.5",
"Farm Organization","Diya Uda Sulu FO",,"Nikaththala",
"F.O. registration number",,,,
"Reservations are available or not",,,"Yes",
"Reservations are marked or not",,,"No",
"Bund","-","Concrete wall (H 6m)","Concrete wall",
"Bund Length (m)",,"40m","60m",
"Top width (m)",,,"250mm",
"Visible bund height (m)",,,"2m",
"US & DS slopes (h/b)",,,,
"Availability of rip rap",,,,
"Spillway","Stepped",,"RB(CO)                     LB",
"Station",,,"RB","Natural soil bund"
"Type",,,,
"Length (m)",,,"3m                            5m",
"Observed Afflux (m)",,,"200mm              Effective spill",
"Duration of spilling (days)",,,"Perennial",
"Sluices",,,"HW (Connected to Bund)",
"No of Sluices (nos)","1","1","2",
"Station/s (km+m)","RB",,"0+010                  0+025",
"Type/s","-",,"HW",
"Barrel size/s (mm)","150","225","225?",
"Command area of the sluice (ha)",,,"6                                  5",
"Observations / Damages",,,"Sluice is not working",
"Recommendation","Tree planting and widen the reservation","Raise the bund","Extend the concrete bund to LB (L 10m, H 2m), Replace the sluice gate, lifting rod replacement, Desilting (20 perch), Construct the sluice to carry the water to nearby paddy fields, Demarcate the boundaries of the restricted forest area (50 perches) and make a fence.",
