"Table 5.8: Salient details of Narankandura Mahapitiya Wewa, Narankandura Wewa and Kingsway Watta Wewa","","","",""
"Tank Name","Narankandura Mahapitiya Wewa","Narankandura Wewa","Kingsway Watta Wewa","Rikillagaskada Wewa"
"GN","Rakitipe","Rakitipe","Rakitipe","Rikillagaskada"
"MWS","MWS-012","MWS-012","MWS-012","MWS-012"
"DS","Hanguranketha","Hanguranketha","Hanguranketha","Haguranketha"
"District","Nuwara Eliya","Nuwara Eliya","Nuwara Eliya","Nuwara Eliya"
"Ownership","DAD","DAD","DAD","DAD"
"Construction",,,,
"Location (Lat, Lon)","7.17047N, 80.75355E","7.17126N, 80.75017E","7.17589N, 80.75381E","7.14399
80.78455"
"Agro-Ecological zone",,,,
"Water Surface Area (approx.) (ha)",,"0.05","0.02","0.06"
"Tank capacity (m3)",,,,
"Catchment Area (gross) (km2)",,,,
"Total command area (ha)",,"24",,
"Farm Organization",,"Rakitpe Wasam","Rakitpe Wasam",
"F.O. registration number",,,,
"Reservations are available or not",,,,
"Reservations are marked or not",,,,
"Bund","Concrete /earthen","Earthen",,"Earth"
"Bund Length (m)",,"90","60","40"
"Top width (m)",,"4","2","2"
"Visible bund height (m)",,"5","3","3"
"US & DS slopes (h/b)",,"1:2 (both)","1:2","1:2"
"Availability of rip rap",,,,"-"
"Spillway",,,,
"Station (km+m)",,,"0+040","LB end"
"Type","CO",,"CO","Culvert"
"Length (m)",,,"2","0.6*0.6"
"Observed Afflux (m)",,,"100mm","-"
"Duration of spilling (days)",,,,"Perennial"
"Sluices",,,,
"No of Sluices (nos)","1","2","1","1"
"Station/s (km+m)","225m","0+020                     0+070","0+020","0+033"
"Type/s",,"HW                               HW","HW","HW"
"Barrel size/s (mm)",,"225                                  150","150","225"
"Command area of the sluice (ha)",,,,
"Observations / Damages",,,,
"Recommendation","Demarcate boundaries of restricted forest area (1 Ac) and fence.
Desilting.","Extend the sluice pipe by 12ft, Fill the bund and the downstream, Raise the upstream perimeter bund 12m-L, Concrete wall, Expand the tank(1/4AC) and increase the tank capacity, Build a fence to the tank  road, Tree planting (Kumbuk, Mee)","Desilting (1/4 AC), Reconstruct the sluice. Fill soil and increase the height of the tank bund up to 1 ft, Gate Lift rod, Hoisting arrangement","Desilting, Sluice gate hoisting, Lifting the rod, Allocate a 1/2ac area for a reserved forestry and plant Kumbuk trees in that area, Desilting, Make a protective fence for the reserved forest of 1/2ac,Remove the waste, Put notice boards"
