No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Total Sum (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation
1,496A,Ambaliyadda1,1. Renovation of natural drains - Kahitiye Oya,1,Off,7.174264,80.767016,150 m,Planting some trees along the banks and other conservation practices,,"15,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
2,496A,Ambaliyadda2,2. Renovation of natural drains - Alawala Oya,1,Off,7.177713,80.767113,6.5 km,Planting some trees along the banks and other conservation practices,,"650,000.00","       665,000.00 ",Labour and other basic services by the Local community/ Shramadana,0.5 Years
3,496B,Arattana,1. Renovation of natural drains - Minegaharawa Kandura,1,Off,7.177991,80.768585,150 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"15,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
4,496B,Arattana,2. Renovation of natural drains - Torrent near Maha Vidyalaya,1,Off,7.17887,80.767154,270 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"27,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
5,496B,Arattana,3. Renovation of natural drains - Alawala Oya,3,Off,7.178642,80.767304,1.3 km,Planting some trees along the banks and other conservation practices,,"130,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
6,496B,Arattana,4. Establishing a retaining wall,3,Off,7.178642,80.767304,25 m x 4.5 m,Retaining wall,"2,000.00 m-2","225,000.00",,Labour and other basic services by the Local community,0.5 Years
7,496B,Arattana,5. Establishing a retaining wall at 45 degrees slope,4,Off,7.181983,80.762493,100 m x 7.5 m,Retaining wall,"2,000.00 m-2","1,500,000.00","     1,897,000.00  ",Labour and other basic services by the Local community,0.5 Years
8,496C,Dampola,1. Renovation of natural drains - Kirinde Kandura,4,Off,7.171873,80.760467,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
9,496C,Dampola,2. Renovation of natural drains - Pitala Kandura,1,Off,7.175082,80.76053,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
10,496C,Dampola,3. Soil conservation practices - Dampola  (60°),1,On,7.182702,80.757141,1.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"300,000.00","        550,000.00  ",Labour and other basic services by the Local community,0.25 Years
11,494,Damunumeya,1. Renovation of natural drains - Dead torrent in Damunumeya Kotawegedara road,3,Off,7.171749,80.777519,260 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"26,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
12,494,Damunumeya,2. Renovation of natural drains - Torrent near madawela Yaya,2,Off,7.168947,80.776408,2.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"250,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
13,494,Damunumeya,3. Renovation of natural drains - Randeniye Kandura,1,Off,7.16801,80.776927,220 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"22,000.00","298,000.00",Labour and other basic services by the Local community/ Shramadana,0.25 Years
14,494E,Damunumeya North,1. Renovation of natural drains - Alawala Oya,2,Off,7.173447,80.775117,1.5 km,Planting some trees along the banks and other conservation practices,,"150,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
15,494E,Damunumeya North,2. Renovation of natural drains - Pilapitiya Kandura,1,Off,7.17743,80.774187,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
16,494E,Damunumeya North,3. Soil conservation practices - Kottegoda  (60°),1,On,7.177141,80.770358,1.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"300,000.00",,Labour and other basic services by the Local community,0.25 Years
17,494E,Damunumeya North,4. Constructing a retaining/side wall  near Neelawathura stream,1,Off,7.177888,80.773765,20 m x 3 m,Retaining wall,"2,000.00 m-2","120,000.00",,Labour and other basic services by the Local community,0.5 Years
18,494E,Damunumeya North,5. Constructing a retaining wall (driveway) - Welyawaththa,1,Off,7.175978,80.773825,24 m x 1.2 m,Retaining wall,"2,000.00 m-2","57,600.00","        727,600.00  ",Labour and other basic services by the Local community,0.5 Years
19,495D,Delgahapitiya,1. Renovation of natural drains - Torrent flows from Hanguranketha Wewa,1,Off,7.180792,80.775,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
20,495D,Delgahapitiya,2. Renovation of natural drains - Delgahapitiya Meda kandura,2,Off,7.181831,80.774717,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"300,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
21,495D,Delgahapitiya,3. Soil conservation practices - Delgahapitiya  (70°),5,On,7.181825,80.774691,8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"2,000,000.00",,Labour and other basic services by the Local community,0.5 Years
22,495D,Delgahapitiya,4. Soil conservation practices - Tank road  (80°),5,On,7.181964,80.775461,6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,500,000.00",,Labour and other basic services by the Local community,0.5 Years
23,495D,Delgahapitiya,5. Constructing a retaining wall - Polwaththa Wewa road,1,Off,7.182002,80.775462,4.5 m x 9 m,Retaining wall,"2,000.00 m-2","81,000.00","3,931,000.00",Labour and other basic services by the Local community,0.25 Years
24,494D,Deliwala,1. Renovation of natural drains - Kottagaha Wella Kandura,4,Off,7.171728,80.769993,1.25 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"125,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
25,494D,Deliwala,2. Renovation of natural drains - Dehipe Kandura,1,Off,7.17057,80.768771,450 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"45,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
26,494D,Deliwala,3. Soil conservation practices - Alawthugama  (70°),4,On,7.168536,80.770438,8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"2,000,000.00","2,170,000.00",Labour and other basic services by the Local community,0.5 Years
27,492,Diya - Udagama,1. Renovation of natural drains - Bataketiya Kandura,4,Off,7.16074,80.79512,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
28,492,Diya - Udagama,2. Renovation of natural drains - Torrent near Balawadeniya Tank,5,Off,7.15777,80.794139,1.3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"130,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
29,492,Diya - Udagama,3. Renovation of natural drains - Maa Pela waterfall,1,Off,7.167978,80.783494,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
