No,GND No.,Name of the minor irrigation structure,Coordinate N,Coordinate E,Observed problems,Proposal,Amount
1,496 A,Kanitiye Ela,7.17514,80.766582,?eepages towards the field side. (L- 30m),"1. Concrete lining of the canal
2. Earth filling the reservation
3. Vegetative cover and tree planting ","88,000.00"
2,496 A,Yatahalgama anicut,7.175849,80.766296,?urrently distributing water by constructing a temporary anicut.,"1. Construct a new anicut with anicut planks
2. Construct a sluice
3. Vegetative cover and tree planting ","436,700.00"
3,496 A,Yatahalgama canal,7.175895,80.765512,?eepages towards the field side.,"1. Concrete lining of the canal
2. Earth filling the reservation
3. Vegetative cover and tree planting ","211,900.00"
4,496 A,Aththanameya canal,7.178909,80.766521,? part of canal is not concrete lined.,"1. Concrete lining of the canal
2. Earth filling the reservation
3. Vegetative cover and tree planting ","582,300.00"
5,496 A,Aththanameya canal,7.178909,80.766521,?eepages towards the field side.,"1. Concrete lining of the canal
2. Earth filling the reservation
3. Vegetative cover and tree planting ","441,300.00"
6,496 B,Mithel Arawe Ela,7.178642,80.767304,?eepages towards the field side.,"1. Concrete lining of the canal
2. Earth filling the reservation
3. Vegetative cover and tree planting ","499,400.00"
7,496 B,Viharawala Ela,7.176625,80.769499,?eepages from a part of the canal's side wall. (L- 7m),"1. Concrete lining of the canal
2. Vegetative cover and tree planting ","48,200.00"
8,496 B,Polgaharawa Ela,7.178317,80.769454,?ater cannot be conveyed from spring to the canal.,"1. Construct a canal over crossing
2. Concrete lining of the canal
3. Vegetative cover establishment ","224,400.00"
9,496 B,Thiththa Pannala Ela,7.17838,80.767989,?eepages towards the field side.,"1. Concrete lining of the canal
2. Earth filling the reservation
3. Vegetative cover and tree planting ","157,900.00"
10,496 C,Uduwe Ela,7.18508,80.757302,?eepages towards the field side and overflow from the canal because absence of a bank.,"1. Concrete lining of the canal
2. Earth filling the reservation
3. Vegetative cover and tree planting ","899,100.00"
11,496 C,Malana canal,7.175988,80.761213,"?eepages towards the field side.
?ater overflows from the canal because the absence of the side walls.","1. Concrete lining of the canal
2. Earth filling the reservation
3. Vegetative cover and tree planting ","346,700.00"
12,496 C,Heenatimulla canal,7.175251,80.759483,?eepages towards the field side and overflow from the canal.,"1. Concrete lining of the canal
2. Earth filling the reservation
3. Vegetative cover and tree planting ","325,900.00"
13,496 C,Kajugas Kella Ela,7.178919,80.757196,"?he canal is not in proper condition to distribute water.
?51% of the total land area is cultivated, but only in one season.","1. Concrete lining of the canal
2. Earth filling the reservation
3. Vegetative cover and tree planting ","448,250.00"
14,494,Madawela canal,7.168989,80.776328,?eepages towards the field side.,"1. Concrete lining of the canal
2. Earth filling the reservation
3. Vegetative cover and tree planting ","440,700.00"
15,494 E,Gedara Kubura canal,7.173422,80.775183,"?eepages from a concrete lined part of the canal.
?eepages towards the field side.","1. Concrete lining of the canal
2. Earth filling the reservation
3. Vegetative cover and tree planting ","117,600.00"
16,494 E,Gedara Kubura canal,7.17417,80.774036,?eepages from the concrete side wall of the canal. (L- 20m),"1. Concrete lining of the canal
2. Earth filling the reservation.
3. Vegetative cover and tree planting ","63,200.00"
17,494 E,Gedara Kubura canal,7.175489,80.77245,? part of canal is not concrete lined. (L- 100m)?,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","293,500.00"
18,494 E,Neelawathura Meda Ela,7.178791,80.772804,?eepages towards the field side.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","158,000.00"
19,494 E,Neelawathura canal,7.177897,80.773304,?eepages from several places in the canal.,1. Concrete curtain wall to arrest leaking,"121,200.00"
20,,,7.177821,80.773571,,"2. Cement mortar plastering to prevent leaking from lining.
3. Vegetative cover and tree planting ",
21,495 D,Liyan Oluwa Ela,7.18271,80.773819,? part of canal is not concrete lined.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","453,600.00"
22,495 D,Pallerawa Udu Ela,7.185517,80.772622,?eepages towards the field side and silting of the canal.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation and desilting
3. Vegetative cover and tree planting ","212,000.00"
23,494 D,Ma Ela,7.172949,80.770413,? part of canal is not concrete lined. (L- 400m),"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","1,115,800.00"
24,494 D,Panaliyadda canal,7.174625,80.770797,?eepages towards the field side.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","567,000.00"
25,492,Bataketiya canal,7.159743,80.790455,?eepages towards the field side.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation           
3. Vegetative cover and tree planting ","295,600.00"
26,492,Aluthenna canal,7.15769,80.794127,?he canal is insufficient to distribute water.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","291,100.00"
27,492,Galagawa Waththa canal,7.156901,80.795383,? part of canal is not concrete lined.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","212,000.00"
28,492,Hinnarawa canal,7.159397,80.783084,?he canal needs to be concrete lined with drainage crossings.,"1. Canal reservation protection by concrete lining.
2. Construction of canal over crossings
3. Earth filling the reservation
4. Vegetative cover and tree planting ","637,800.00"
29,492,Ma Ela,7.15769,80.783519,?ater overflows from the canal.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","314,100.00"
30,492,Pol Ambagaha Ela,7.160162,80.783376,?he canal is silted and unable to distribute water to the fields.,"1. Desilting of the canal,
2. Construction of drainage under crossing
3. Construction of canal over crossing.
4. Concrete lining of canal
5. Canal reservation protection by earth filling.
6. Vegetative cover and tree planting","571,800.00"
31,492 B,Gorakadanda Pahala Canal,7.151744,80.790178,?eepages towards the field side.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","158,000.00"
32,492 B,Kirimetta Pahala Ela,7.151735,80.787976,?rosion at field side. (L- 200m),"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","258,800.00"
33,492 B,Daranu Panuwa canal,7.153856,80.788111,?eepages towards the field side.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","315,900.00"
34,492 B,Meda Panguwa canal,7.154313,80.788219,?eepages towards the field side.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","158,000.00"
35,492 B,Uggal Arawa canal,7.155161,80.787334,?eepages towards the field side.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","315,900.00"
36,492 B,Ampitigala Pahala canal,7.15706,80.788566,?he canal is insufficient to distribute water.,"1. Earth filling the reservation
2. Vegetative cover and tree planting ","45,900.00"
37,492 B,Sellajja Kubura Pahala Ela,7.156074,80.790356,?eepages towards the field side.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","198,700.00"
38,492 B,Weralugahapitiya canal,7.156024,80.79138,?eepages towards the field side.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","63,200.00"
39,494 A,Rathmetiya Ela,7.152838,80.77689,?eepages towards the field side and the canal's volume is insufficient to distribute water.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","635,900.00"
40,495,Newandeniya Pita Ela,7.176716,80.775165,"?eepages towards the field side.
?nable to connect with the main canal.","1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","212,000.00"
41,495,Walliwela canal,7.176306,80.775435,?nable to distribute water from a part the canal. (L- 12m),"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation","145,500.00"
42,495,Walliwela canal,_,_,?eepages towards the field side. (L- 100m),"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","314,100.00"
43,495,Ethiliyawela canal,7.174391,80.778918,?he canal is not concrete lined.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","201,700.00"
44,495,Uyanwaththa canal,7.172487,80.780544,?he canal is not concrete lined.,"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","178,700.00"
45,495,Uyanwaththa Pita Ela,7.17328,80.780611,?he canal has blocked due to collapse of up stream side bank.,"1. Construction of a retaining wall
2. Earth filling the reservation
3. Vegetative cover and tree planting","254,600.00"
46,495,Wadanapaya Ela,7.17313,80.780034,?eepages towards the field side.,"1. Construction of a retaining wall
2. Earth filling the reservation
3. Vegetative cover and tree planting","90,200.00"
47,493 A,Bathgala Rubber Gahamula Ela,7.164607,80.782703,?bsence of a canal. Cannot distribute water.,"1. Construction of canal with machine
2. Earth filling the reservation
3. Vegetative cover and tree planting","114,600.00"
48,493 A,Canal from Bathgala main anicut to Heen Kadura,7.165759,80.782906,?eepages towards the field side  and the side wall is dilapidated in field side.," 1. Construction of a curtain wall to prevent leaks.
2. Earth filling the reservation
3. Vegetative cover and tree planting","498,300.00"
49,493 A,Ma Ela,7.167063,80.784751,?bsence of a reservation at field side.,"1. Stream / canal  reservation protection by earth filling.  
2. Vegetative cover improving and tree planting. ","458,900.00"
50,493 A,Palleha Panguwa Field Canal,7.167569,80.784278,?eepages towards the both sides from the canal. ),"1. Canal reservation protection by concrete lining.
2. Earth filling the reservation
3. Vegetative cover and tree planting ","293,000.00"
51,493,Kurulu Mulla canal,7.163209,80.78022,?he canal is silted.,"1. Canal reservation protection by concrete lining.
2. Removing silt from canal bed
2. Earth filling the reservation
3. Vegetative cover and tree planting ","113,500.00"
