No,GND No.,Name of the Torrent,N,E,Problem,Recommendation,Estimated Cost (Rs)
1,492 B,Gorakadanda Kandura,7.151656,80.79053,Soil erosion,"1. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.
2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H)","231,000.00"
2,492 B,Sellajja Kumbura Kandura,7.15474,80.78819,Soil erosion,"1. Construction of leader drain across streams -1m(W)x1m(H).
2. Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval ","254,000.00"
3,492 B,Ampitigala Kandura,7.156907,80.78831,Soil erosion,"1. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.
2. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W).","231,000.00"
4,492 C,Uda Oya,7.155091,80.77932,bank erosion on both sides," Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","70,500.00"
5,492,Bataketiya Kandura,7.16074,80.79512,Soil erosion," Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","94,000.00"
6,492,Torrent near Balawadeniya Tank,7.15777,80.79414,Soil erosion," Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","141,000.00"
7,492,Maa Pela waterfall,7.167978,80.78349,Soil erosion,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.  ","94,000.00"
8,492,Gorakgaha Kandura,7.160902,80.78441,Soil erosion,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop. ","94,000.00"
9,493 A,Heen Kandura,7.166362,80.78359,Soil erosion,"1. Construction of leader drain across streams -1m(W)x1m(H).
2. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.
3. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H)","474,000.00"
10,493 A,Kottala Kandura,7.166432,80.78519,Soil erosion,"1. Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H).
2. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop ","415,000.00"
