No,GND No.,Name of the Tank  ,N,E,Estimated Cost (LKR) 
1,495,Udamaluwa Wewa,7.17886,80.77713,- 
2,493A,Elamullawa Wewa,7.17085,80.78449,"181,000.00"
3,492B ,Walugama Wewa,7.15506,80.78549,"495,000.00"
4,492,Badaladeniya Wewa,7.15944,80.79406,"241,000.00"
5,496,Nikaththala Wewa,7.16968,80.75897,"1,146,000.00"
6,497A,Narankandura Mahapitiya Wewa,7.17047,80.75355,"5,000,000.00"
7,497A,Narankandura Wewa,7.17126,80.75017,"903,000.00"
8,497A,Kingsway Watta Wewa,7.17589,80.75381,"589,000.00"
9,497A,Rikillagaskada Wewa,7.14399,80.78455,"514,000.00"
10,494A,Katukenda Gommana Wewa (New Tank),7.16685,80.76523,"8,300,000.00"
,,,,,"17,369,000.00"
