ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,geojson,Year
1,MWS-013,Proposal,Soil and Water Conservation,Key activties proposed for soil and water conservation in MWS-013 belongs to Hanguranketha DS Division,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_1.csv,
2,MWS-013,Proposal,Soil and Water Conservation,Reported landslides/Other hazards in MWS-013 belong to Hanguranketha DS Division,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_2.csv,
3,MWS-013,Proposal,Minor tanks restoration,Details of Minor Tanks and Anicuts in MWS-013,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_3.csv,
4,MWS-013,Proposal,Minor tanks restoration,"Salient features of Kurunduwaththa Wewa, Karadan Wewa, Malulla Wewa",,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_4.csv,
5,MWS-013,Proposal,Minor tanks restoration,"Salient details of Alakola Wewa, Batuketiya Wewa and Ethdaththawa Wewa",,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_5.csv,
6,MWS-013,Proposal,Minor tanks restoration,Detail summary of minor tanks restoration and repair costs in MWS-013,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_6.csv,
7,MWS-013,Proposal,Minor tanks restoration,Implementation schedule of tanks and anicuts,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_7.csv,
8,MWS-013,Proposal,Water resource management,Unit rates of different vegetative cover-improving methods,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_8.csv,
9,MWS-013,Proposal,Water resource management,Unit rates of different reservation protection methods,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_9.csv,
10,MWS-013,Proposal,Water resource management,Unit rates of different options for canal rehabilitation,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_10.csv,
11,MWS-013,Proposal,Water resource management,Unit rates of garbage traps and culverts,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_11.csv,
12,MWS-013,Proposal,Water resource management,"Unit rates of SABO dams, Storage tanks, Leader drains, etc",,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_12.csv,
13,MWS-013,Proposal,Water resource management,Estimate of water source protection and domestic water supply related activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_13.csv,
14,MWS-013,Proposal,Water resource management,Cost estimate of minor irrigation-related proposals with locations,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_14.csv,
15,MWS-013,Proposal,Water resource management,Time frame for implementing domestic water and water source protection,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_15.csv,
16,MWS-013,Proposal,Water resource management,Time frame for implementation of minor irrigation proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_16.csv,
17,MWS-013,Proposal,Water quality improvement,Details related to water pollution in MWS-013 belongs to Hanguranketha DS Division,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_17.csv,
18,MWS-013,Proposal,Stream reservation,Brief description of legal provisions,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_18.csv,
19,MWS-013,Proposal,Stream reservation,Total Cost Estimate for Stream Reservation Proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_19.csv,
20,MWS-013,Proposal,Stream reservation,Time frame for implementing stream reservation activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_20.csv,
21,MWS-013,Proposal,Product and entrepreneurships developments,Packaging and transport of agricultural produce,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_21.csv,
22,MWS-013,Proposal,Product and entrepreneurships developments,Potential for tourism development and promotion in the area,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_22.csv,
23,MWS-013,Proposal,Product and entrepreneurships developments,Cost estimates and Time frame,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_23.csv,
24,MWS-013,Proposal,Forest management,Vegetation types in the MWS-013,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_24.csv,
