"Table 2.6: Age group categorization of the population of MWS-013 (GN-wise)","","","","","","","","","","","","","",""
"GND No","GND Name","X0 4","X5 9","X10 14","X15 19","X20 24","X25 29","X30 34","X35 39","X40 44","X45 49","X50 54","X55 59","Above 60 years"
"486C","Adikarigama","116","118","134","97","109","101","88","102","133","96","84","102","269"
"486B","Ambewela2","47","53","57","49","44","50","51","54","46","40","54","41","112"
"487","Ganga Udagama","19","35","42","45","54","50","51","42","47","41","39","36","142"
"486A","Hingurukaduwa","32","39","37","29","29","32","58","46","21","21","27","36","93"
"486","Idamalanda","76","85","115","93","65","83","76","81","95","75","122","92","174"
"485","Karalliyadda","45","41","44","42","61","56","62","43","38","43","54","52","143"
"485C","Maliyadda1","17","23","25","20","29","34","24","31","23","20","18","30","80"
"488","Malulla","19","27","31","43","43","44","47","33","28","33","37","42","132"
"487B","Mirahampe","9","19","15","16","19","11","20","9","16","23","8","15","41"
"487A","Mudunapita","26","28","29","23","33","36","39","36","20","19","20","38","86"
"494B","Sangaraja Gama","85","88","74","81","78","84","113","98","89","66","77","56","220"
"494F","Udawatta Kumbura","77","72","72","91","71","63","81","71","78","66","73","68","173"
,"Total","568","628","675","629","635","644","710","646","634","543","613","608","1665"
