No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Sum of Costs (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation
1,486C,Adikarigama,1. Renovation of natural drains - Etambagaha Landa Kandura 2,1,Off,7.210953,80.781262,1.2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"120,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
2,486C,Adikarigama,2. Renovation of natural drains - Polgas Ella Kandura,2,Off,7.209855,80.779191,850 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"85,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
3,486C,Adikarigama,3. Renovation of natural drains - Etambagaha Landa Kandura 1,2,Off,7.20985,80.779188,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"20,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
4,486C,Adikarigama,4. Soil conservation practices - Bogas Kanda (70°),1,On,7.21048,80.776934,52 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"13,000,000.00",,Labour and other basic services by the Local community,1 Year
5,486C,Adikarigama,5. Soil conservation practices - Dunhinda (85°),5,On,7.21156,80.77275,30 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"7,500,000.00",,Labour and other basic services by the Local community,1 Year
6,486C,Adikarigama,"6. Constructing a retaining, Bogaspitiya",1,Off,7.209943,80.777199,30 m x 3.6 m,Retaining wall,"2,000.00 m-2","216,000.00","20,941,000.00",Labour and other basic services by the Local community,0.5 Years
7,486B,Ambewela2,1. Renovation of natural drains - Torrent near the Ambewela GN office (Main torrent),5,Off,7.232098,80.77904,7 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"700,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
8,486B,Ambewela3,2. Renovation of natural drains - Ambewela Kandura 2,4,Off,7.233553,80.779038,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
9,486B,Ambewela4,3. Renovation of natural drains - Ambewela Kandura 3 (Near the Sinkadappu's House),1,Off,7.234652,80.778207,800 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"80,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
10,486B,Ambewela5,4. Renovation of natural drains - Ambewela Kandura 3 (Near the community hall),3,Off,7.237867,80.775517,850 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"85,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
11,486B,Ambewela6,5. Soil conservation practices - (70°),3,On,7.231595,80.77858,20 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"5,000,000.00",,Labour and other basic services by the Local community,1 Year
12,486B,Ambewela7,6. Soil conservation practices (65°),1,On,7.232098,80.77904,3 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"750,000.00",,Labour and other basic services by the Local community,0.25 Years
13,486B,Ambewela8,7. Soil conservation practices (60°),1,On,7.232402,80.778592,3 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"750,000.00",,Labour and other basic services by the Local community,0.25 Years
14,486B,Ambewela9,8. Soil conservation practices (45°),5,On,7.232788,80.779038,3 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"750,000.00",,Labour and other basic services by the Local community,0.25 Years
15,486B,Ambewela10,9. Soil conservation practices (30°),1,On,7.235528,80.778173,1 ha,"Lock and spills
Stone terracing/live fencing, as applied",400.00 m-1,"400,000.00",,Labour and other basic services by the Local community,0.5 Years
16,486B,Ambewela11,10. Soil conservation practices (60°),1,On,7.237342,80.776267,2.4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"600,000.00",,Labour and other basic services by the Local community,0.25 Years
17,486B,Ambewela12,11. Constructing a retaining wall,4,Off,7.239338,80.775758,100 m x 3 m,Retaining wall,"2,000.00 m-2","600,000.00","9,765,000.00",Labour and other basic services by the Local community,0.5 Years
18,487,Ganga Udagama,1. Renovation of natural drains - Wee Keliya Yaya Kandura,3,Off,7.194616,80.783075,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
19,487,Ganga Udagama,2. Renovation of natural drains - Koppe Kandura,1,Off,7.193836,80.783241,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
20,487,Ganga Udagama,3. Renovation of natural drains - Hingurawelketiya Kandura,3,Off,7.190042,80.782162,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"30,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
21,487,Ganga Udagama,4. Soil conservation practices - Udagammedda (25°),1,On,7.194561,80.784768,6 ha,"Lock and spills
Stone terracing/live fencing, as applied",400.00 m-1,"2,400,000.00",,Labour and other basic services by the Local community,0.5 Years
22,487,Ganga Udagama,5. Soil conservation practices - Udu Pitiya Waththa (55°),3,On,7.192121,80.782033,6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,500,000.00","4,180,000.00",Labour and other basic services by the Local community,0.25 Years
23,486A,Hingurukaduwa,1. Renovation of natural drains - Waadi Kandura,1,Off,7.250345,80.767338,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
24,486A,Hingurukaduwa,2. Renovation of natural drains - Torrent on the road to reservation,3,Off,7.250405,80.767063,1.6 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"160,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
25,486A,Hingurukaduwa,3. Soil conservation practices (60°),1,On,7.24566,80.771764,14.4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"3,600,000.00",,Labour and other basic services by the Local community,0.25 Years
26,486A,Hingurukaduwa,4. Soil conservation practices (80°),4,On,7.247901,80.770799,1 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"250,000.00",,Labour and other basic services by the Local community,0.25 Years
27,486A,Hingurukaduwa,5. Soil conservation practices (85°),4,On,7.249942,80.770155,1 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"250,000.00",,Labour and other basic services by the Local community,0.25 Years
28,486A,Hingurukaduwa,6. Soil conservation practices (70°),4,On,7.250272,80.768785,20 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"5,000,000.00",,Labour and other basic services by the Local community,0.25 Years
29,486A,Hingurukaduwa,7. Soil conservation practices (80°),1,On,7.244798,80.769814,1.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"375,000.00","9,785,000.00",Labour and other basic services by the Local community,0.25 Years
30,486,Idamalanda,1. Renovation of natural drains - Pathale Kandura 1,5,Off,7.216094,80.775369,400 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"40,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
31,486,Idamalanda,2. Renovation of natural drains - Pathale Kandura 2,4,Off,7.216941,80.778054,600 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"60,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
32,486,Idamalanda,3. Renovation of natural drains - Torrent near the plant nursery,5,Off,7.22091,80.778027,1.3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"130,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
33,486,Idamalanda,4. Renovation of natural drains - Kalu Kumara Devala Kandura,4,Off,7.224227,80.770647,400 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"40,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
34,486,Idamalanda,5. Renovation of natural drains - Waga Kandura,,Off,_,_,7 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"700,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
35,486,Idamalanda,6. Renovation of natural drains - Kandura 1,2,Off,7.219807,80.772654,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
36,486,Idamalanda,7. Renovation of natural drains - Kandura 2,1,Off,7.218316,80.773006,700 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"70,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
37,486,Idamalanda,8. Soil conservation practices - Davin Gedara Ella (80°),5,On,7.22053,80.77185,10,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"2,500,000.00",,Labour and other basic services by the Local community,0.5 Years
38,486,Idamalanda,9. Soil conservation practices - Palle Waththa (40°),1,On,7.218013,80.774359,7.2,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,800,000.00",,Labour and other basic services by the Local community,0.5 Years
39,486,Idamalanda,10. Soil conservation practices - Idamalanda Meda Goda (80°),4,On,7.220059,80.774094,12,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"3,000,000.00",,Labour and other basic services by the Local community,0.5 Years
40,486,Idamalanda,11. Soil conservation practices - Bala Golla (75°),1,On,7.221398,80.778636,14,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"3,500,000.00",,Labour and other basic services by the Local community,0.5 Years
41,486,Idamalanda,12. Soil conservation practices - Near the reservoir (60°),4,On,7.221614,80.770323,1,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"250,000.00",,Labour and other basic services by the Local community,0.25 Years
42,486,Idamalanda,13. Constructing a retaining - Idamalanda Pahala,4,Off,7.22015,80.772291,200 m x 3.6 m,Retaining wall,"2,000.00 m-2","1,440,000.00","13,630,000.00",Labour and other basic services by the Local community,0.5 Years
43,485,Karalliyadda,1. Renovation of natural drains - Karadan Wewa Kandura,3,Off,7.201594,80.780707,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
44,485,Karalliyadda,2. Renovation of natural drains - Torrent near the lake,1,Off,7.205284,80.784676,1.8 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"180,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
45,485,Karalliyadda,3. Renovation of natural drains - Meneripitiya Kandura,4,Off,7.204241,80.783763,1.3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"130,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
46,485,Karalliyadda,4. Soil conservation practices - Karadan Wewa (60°),1,On,7.203082,80.781554,2.4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"600,000.00",,Labour and other basic services by the Local community,0.5 Years
47,485,Karalliyadda,5. Soil conservation practices (65°),4,On,7.204978,80.78378,7.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,800,000.00",,Labour and other basic services by the Local community,0.5 Years
