No,GND No.,Name of the spring,N,E,Problem,Recommendation,Estimated Cost (Rs)
1,486C,Praja Shakthi community water project,7.213818,80.771876,Eroded soil accumulates in the middle of the water source,Construction of a concrete retaining wall,"225,000.00"
2,486B,Samurdhi Linda,7.235528,80.778173,"1 The well need to be covered.
2.A reservation need to be allocated. (Area- 15 perches)
3. The water quality need to be tested.","1 Provide a cover to the well
2.Water quality testing
3. Tree cover for the well","176,000.00"
3,487,Hingurawelketiya water spring,7.190042,80.782162,Reservation is not allocated,Tree cover for the well,"551,000.00"
4,486,Gallinda,7.21842,80.773827,Water from the stream is mixing with the water in the well.,Construction of a concrete wall,"11,000.00"
5,486,Jana Savi Linda,7.216897,80.774421,Leakages from the well.,"1. Construction of a curtain wall
2. Providing a cover to the well","31,000.00"
6,485,Puwak Kotuwa Linda,7.204774,80.783901,Unable to retain water.,Construction of a concrete storage tank,"583,000.00"
7,485,Dambulla Liyadda,7.20361,80.779667,Collapse of soil embankments,"1. Construction of a concrete retaining wall
2. Tree cover around well","776,000.00"
8,485C,Maliyadda Thotupala Linda,7.196753,80.782136,Well is sinking,"1. Construction of concrete storage tank
2.Tree planting around the pond","551,000.00"
9,494B,Kakkutu Kandura Meda Linda,7.180336,80.783961,Leakages from the tank,"1. Construction of concrete curtain wall
2.Tree planting around the pond","164,000.00"
10,494F,Spring of Diya Thala Kanda reservation,7.173107,80.789807,"1. Allocation of reservation
2. Fencing the area","1. Barbed wire fencing after reservation allocation
2. Tree planting around the reservation ","138,000.00"
11,494F,Spring near the Ms. W.G. Heenmanike's house,7.174077,80.783067,"1. A tank needs to be constructed near to the spring.
2. Boundaries need to be demarcated and trees need to be planted.","1. Construction of concrete storage tank
2.Tree planting around the pond","577,000.00"
12,494F,Dambagolla Ulpatha,7.176435,80.78269,"1. The boundaries still need to be demarcated.
2. Rain water is mixing with the spring water during rainy days.",Tree planting in the reservation ,"81,000.00"
13,494F,Godakumara Kadure Linda,7.1791,80.784699,The capacity is insufficient.,"1. Increasing on the tank capacity
2. Tree planting in the reservation ","27,000.00"
14,494F,Udawatta Kumbura,7.174807,80.786586,Constructing a new tube well for drinking water.,Drilling of a tube well (15m deep) and pump,"180,000.00"
,Total,,,,,,"4,071,000.00"
