No,GND No.,Name of the canal,N,E,Problem,Recommendation,Estimated Cost (Rs)
1,486 C,Polgas Ella Ela,7.2102456,80.77893,Bank erosion of the canal.,"Earth filling of the canal, turfing and planting vetiver grass with edible plants. Establishing vegetative cover with Areca nut, Beetle creeper plantation","45,000.00"
2,486 C,Galpoththa Kumbura Ela,7.210243,80.77895,Seepages from the canal towards both sides. ,Canal reservation protection by concrete lining for 25 m,"166,000.00"
3,486 C,Etawalanda Ela,7.21101,80.78122,•Absence of a canal with proper condition.,"Excavation of 300m long canal with 0.3m BW, 1:1.5 SS, 0.45m depth. Earth filling the reservation, turfing and planting with Areca nut trees and Beetle creepers.","240,000.00"
4,487,Pahala Ranhida Ela,7.196034,80.7826,•Infiltration of canal water into the soil. (L- 200m),"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco friendly edible plants ","756,000.00"
5,487,Wee Keliya Ela,7.19509,80.78329,•Seepages from the canal towards the field side. ,Canal reservation protection by concrete lining for 30 m. Canal reservation protection by earth filling and planting Arica nut trees and Beetle creepers. ,"227,000.00"
6,487,Wee Keliya Uda Ela,7.194515,80.78364,•Seepages from the canal towards the field side. ,"Canal reservation protection by concrete lining for 20m. Protection of the canal with earthwork, turfing and planting Areca nut and Beetle creepers. ","135,000.00"
7,487,Uda Ranhida Ela (Koppe Ela),7.19381,80.78364,•The capacity of the canal is insufficient and overflow.,Desilting of the canal. Protection of canal by earth filling and planting Areca nut and Beetle Creepers.,"46,000.00"
8,487,Meda Ela,7.193374,80.78434,•Seepages from the canal towards the field side. ,Canal reservation protection by concrete lining for 30 m. Canal reservation protection by earth filling and planting Arica nut trees and Beetle creepers. ,"245,000.00"
9,487,Wee Keliya Ela,7.193801,80.7844,•The canal is overflowing.,Canal reservation protection by concrete lining for 50 m. Canal reservation protection by earth filling and planting Arica nut trees and Beetle creepers. ,"469,000.00"
10,487,Welipolla Ela,7.193753,80.78456,•The capacity of the canal is insufficient and overflow.,Canal reservation protection by concrete lining for 25 m. Canal reservation protection by earth filling and planting Arica nut trees and Beetle creepers. ,"303,000.00"
11,487,Uda Ranhida Ela,7.193868,80.78168,"•Seepages from the canal towards the field side. (L- 200m)
•Construction of human settlements in the reservation area of the canal.",Canal reservation protection by concrete lining for 50 m. Canal reservation protection by earth filling and planting Arica nut trees and Beetle creepers. ,"315,000.00"
12,486,Dhardugaha Yata Ela,7.215135,80.7744,•Seepages from the canal towards the field side. ,Canal reservation protection by concrete lining for 25 m. Canal reservation protection by earth filling and planting Arica nut trees and Beetle creepers. ,"211,000.00"
13,486,Darakota Gaha Yata Ela,7.215067,80.77486,•Seepages from the canal.,Canal reservation protection by concrete lining for 25 m. Canal reservation protection by earth filling and planting Arica nut trees and Beetle creepers. ,"211,000.00"
14,486,Bogaha Yata Ela,7.213933,80.77586,•Seepages from the canal towards the field side. , Canal reservation protection by earth filling and planting Arica nut trees and Beetle creepers. ,"183,000.00"
15,486,Alan Kutti Ela,7.223276,80.77084,•Seepages from the canal towards the field side. ,Canal reservation protection by concrete lining for 50 m. Canal reservation protection by earth filling and planting Arica nut trees and Beetle creepers. ,
16,486,Canal near the Gallinda,7.21839,80.77362,"•Seepages from the canal towards the field side.
•The wall of the canal is dilapidated. (L- 10m)",Canal reservation protection by concrete lining for 15 m. Canal reservation protection by earth filling and planting Arica nut trees and Beetle creepers. ,"145,000.00"
17,486,Palle Wela Ela,7.217747,80.77443,•Seepages from the canal towards the field side. (L- 400m), Canal reservation protection by earth filling and planting Arica nut trees and Beetle creepers. ,"163,000.00"
18,485,Mara Uda Ella,7.200148,80.78095,"•Absence of a canal with proper condition.
•Water overflows.",Canal reservation protection by concrete lining for 25 m. Canal reservation protection by earth filling and planting Arica nut trees and Beetle creepers. ,"215,000.00"
19,485,Karalliyadda Welyaya Meda Ela,7.203082,80.78155,•Seepages from the canal towards both sides. , Canal reservation protection by earth filling and planting Arica nut trees and Beetle creepers. ,"183,000.00"
20,485,Keppetipola Ela,7.20474,80.77898,•The capacity of the canal is insufficient.,Canal reservation protection by concrete lining for 25 m. Canal reservation protection by earth filling and planting Arica nut trees and Beetle creepers. ,"211,000.00"
21,485 C,Agalamulla Ela,7.198579,80.78029,•Seepages from the canal towards the field side. ,Canal reservation protection by concrete lining for 100 m. Canal reservation protection by earth filling and planting Arica nut trees and Beetle creepers. ,"631,000.00"
22,485 C,Diga Liyadda Ela,7.197563,80.78115,•Seepages from the canal towards the field side. ,Canal reservation protection by concrete lining for 30 m. Canal reservation protection by earth filling and planting Arica nut trees and Beetle creepers. ,"245,000.00"
23,487 B,Mirahampe Ela 1,7.193039,80.78014,•The capacity of the canal is insufficient and overflow.,Canal reservation protection by concrete lining for 50 m. Canal reservation protection by earth filling and planting Arica nut trees and Beetle creepers. ,"378,000.00"
