No,GND No.,Name of the stream,N,E,Problem,Recommendation,Estimated Cost (Rs)
1,485C,Etambagaha Landa Kandura 2,7.210953,80.781262,Soil erosion of lands on both sides.,"1. Two SABO dams (boulder/rubble) dams across streams to trap sediment.
2. Tree cover to minimize erosion","474,000.00"
2,485C,Torrent near the Ambewela GN office (Main torrent),7.209855,80.779191,Soil erosion of lands on both sides.,"1. Two SABO dams (boulder/rubble) dams across streams to trap sediment.
2. Tree cover to minimize erosion","593,000.00"
3,486 B,Stream near GN office ,7.232098,80.77904,Land erosion and collapsing boulders due to high water flow during rainy days.,"1. Two SABO dams (boulder/rubble) dams across streams to trap sediment.
2. Mixed tree cover to minimize erosion","818,000.00"
4,486 B,Ambewela Kandura 2,7.233553,80.779038,Extreme soil erosion.,"1.Construction of leader drains
2.Two SABO dams (boulder/rubble) dams across streams to trap sediment.
3. Mixed tree cover to minimize erosion","900,000.00"
5,486 B,Ambewela Kandura 3 (Near the Sinkadappu's House),7.234652,80.778207,High soil erosion and accumulating wastes during rainy days.,Improving vegetative cover with trees planting ,"47,000.00"
6,486 B,Ambewela Kandura 3 (Near the community hall),7.237867,80.775517,Extreme soil erosion.,"1.Construction of leader drains
2.Two SABO dams (boulder/rubble) dams across streams to trap sediment.
3. Mixed tree cover to minimize erosion","513,000.00"
7,487,Wee Keliya Yaya Kandura,7.194616,80.783075,Soil erosion of lands on both sides.,Mixed tree cover to minimize erosion,"76,000.00"
8,487,Koppe Kandura,7.193836,80.783241,Soil erosion of lands on both sides.,Mixed tree cover to minimize erosion,"153,000.00"
9,487,Hingurawelketiya Kandura,7.190042,80.782162,Soil erosion of lands on both sides and discarding domestic wastes.,Mixed tree cover to minimize erosion,"65,000.00"
10,486 A,Waadi Kandura,7.250345,80.767338,Dilapidated leader drain due to lack of maintenance.,"1. Construct leader drain.
2. Construct two SABO dams
3. Mixed tree cover to minimize erosion ","394,000.00"
11,486 A,Torrent on the road to reservation,7.250405,80.767063,Collapsing boulders and high soil erosion of lands on both sides.,"1. Construct leader drain.
2. Mixed tree cover to minimize erosion ","154,000.00"
12,486,Pathale Kandura 1,7.216094,80.775369,High soil degradation.,"1. Construct leader drain.
2. Construct of a SABO dam
3. Mixed tree cover to minimize erosion ","297,000.00"
13,486,Pathale Kandura 2,7.216941,80.778054,Soil degradation. ,"1. Construct leader drain.
2. Construct of a SABO dam
3. Mixed tree cover to minimize erosion ","310,000.00"
14,486,Torrent near the plant nursery,7.22091,80.778027,Soil degradation. ,"1. Construct leader drain.
2. Mixed tree cover to minimize erosion ","154,000.00"
15,486,Kalu Kumara Devala Kandura,7.224227,80.770647,High soil degradation.,"1. Construct leader drain.
2. Construct of a SABO dam
3. Mixed tree cover to minimize erosion ","297,000.00"
16,486,Kandura 1,7.219807,80.772654,Soil erosion.,"1. Construct leader drain.
2. Mixed tree cover to minimize erosion ","60,000.00"
17,486,Kandura 2,7.218316,80.773006,Soil erosion.,"1. Construct leader drain.
2. Mixed tree cover to minimize erosion ","127,000.00"
18,485,Karadan Wewa Kandura,7.201594,80.780707,Soil erosion of lands on both sides.,Improving vegetative cover with trees planting ,"107,000.00"
19,485,Torrent near the lake,7.205284,80.784676,Soil erosion.,Improving vegetative cover with trees planting ,"14,000.00"
20,485,Meneripitiya Kandura,7.204241,80.783763,Soil erosion.,"1. Construct leader drain.
2. Mixed tree cover to minimize erosion ","53,000.00"
21,485 C,Stream flow across the Maliyadda Village ,7.196472,80.782246,Soil erosion.,Improving vegetative cover with trees planting ,"9,000.00"
22,485 C,Maliyadda Gama Meda Kandura,7.197206,80.781789,Soil degradation. ,"1. Concrete lining of the canal
2. Mixed tree cover to minimize erosion ","119,000.00"
