Type,Items Needed,GNDs Requested,Number,Unit Cost (Rs.),Total Cost (Rs.),Contribution (%) from LA/ GoSL,Final cost to LA/ GoSL (Rs.)
Paddy,Tray,Idamalanda-180 Karalliyadda- 20 Maliyadda1-98 malulla-100 Mudunapita-20 Sangarajagama-400,818,80,"65,440.00",50%,"32,720.00"
,Electric fence,Higurukaduwa-18 Idamalanda-18 karalliyadda-10 sangarajagama-10 ,56,"36,000.00","2,016,000.00",50%,"1,008,000.00"
Vegetable,Green chili,"Hingurukaduwa- Idamalanda Karalliyadda, Sangarajagama ",Perches 800,"40/perches unit - 50g. 1,500.00","30,000.00",100%,"30,000.00"
,Beans,Higurukaduwa-20 Idamalanda-20 karalliyadda-20 sangarajagama-20 ,farmers 80,"40/perches unit - 1500g. 4,500.00","360,000.00",100%,"360,000.00"
,Tomato,"Hingurukaduwa, Karalliyadda, Sangarajagama ",Perches 760,"40/perches unit - 10g. 6,000.00","114,000.00",100%,"114,000.00"
Fruits,Banana,Ambewela2--400 Gaga udagama-600 Higurukaduwa-200 karalliyadda-400 Maliyadda1- 200 malulla-1500 Mirahampe-100 Mudunapita-20,3420,120,"410,400.00",100%,"410,400.00"
,Avocado,Ganga udagama-200 Idamalanda-100 karalliyadda-100 malulla-200 Mirahampe-50 Mudunapita-20,670,200,"134,000.00",100%,"134,000.00"
,Mango,Ganga udagama-100 Idamalanda-100 karalliyadda-100 malulla-200 Mirahampe-50 Mudunapita-60,360,300,"108,000.00",100%,"108,000.00"
Export Crops,Coffee,Adilarigama-100 Higurukaduwa-500 Mirahampe-200 Mudunapita-500 sangarajagama-50 ,1350,30,"40,500.00",100%,"40,500.00"
,Pepper,"Adilarigama-100 Abewela2- 200 Gangaudagama-600 Hingurukaduwa- 1000, Karalliyadda-2000 Maliyadda1- 1000 Mirahampe-200 Mudunapita-1000, Sangarajagama-200 ",4300,40,"172,000.00",100%,"172,000.00"
,Vanila, Ambewela2- 400 Gangaudagama-600 Hingurukaduwa-240 Karalliyadda-300 Maliyadda1- 260 Malulla-3000 Mudunapita-500 Sangaraja gama-40 ,5340,40,"213,600.00",100%,"213,600.00"
,Clove,Ganga Udagama-400 Karalliyadda- 200 Maliyadda1-30 Malulla-200 sangarajagama-20,850,130,"110,500.00",100%,"110,500.00"
,Ginger,Ganga udagama-900 Maliyadda1-500 Malulla- 1500 Mirahampe- 100 Sangarajagama-100 ,3100,18,"55,800.00",100%,"55,800.00"
Livestock,No of cow,Ganga udagama-10 Idamalanda-6 Karalliyadda-6 Mudunapita- 4 Sangaraja gama-2,28,"250,000.00","7,000,000.00",50%,"3,500,000.00"
,No of goat,Ganga udagama-10 Idamalanda-3 Karalliyadda-5,18,"40,000.00","720,000.00",50%,"360,000.00"
,No of chicks,"Ambewela2--50, Ganga udagama-100 Idamalanda -950 Karalliyadda-40 malulla-50 mirahampe-10 Mudunapita -200 sinharajagama-200 ","1,600","1,500.00","2,400,000.00",50%,"1,200,000.00"
,No of sheds - cow,Ganga udagama-5 Idamalanda-3 Karalliyadda-5 Mudunapita- 15 Sangaraja gama-2,30,"300,000.00","9,000,000.00",50%,"4,500,000.00"
,No of sheds - goat,Ganga udagama-5 Idamalanda-1 Karalliyadda-2,8,"150,000.00","1,200,000.00",50%,"600,000.00"
Protected Agriculture,Polytunnel,Idamalanda-2 Karalliyadda- 1 Maliyadda1-1 malulla-1 Mudunapita- 1 Sangarajagama- 2,8,"700,000.00","5,600,000.00",50%,"2,800,000.00"
Value added products,Bee keeping (Box 4000/= & 4000/= bees),Ambewela2--5 Ganga udagama-20 malulla-5 Mudunapita-6 sangarajagama-20 ,56,"8,000.00","448,000.00",75%,"336,000.00"
,Curry powder grinding,Ambewela2-1 Ganga udagama-2 malulla-3 mirahampe-1 Sangarajagama-2,9,"120,000.00","1,080,000.00",50%,"540,000.00"
,Jackfruit drying machines,Ambewela2-1,1,"850,000.00","850,000.00",50%,"425,000.00"
,Ginger slicing machine,Sangarajagama-1,1,"150,000.00","150,000.00",50%,"75,000.00"
,Areca nut slicing machines,Sangarajagama-1,1,"150,000.00","150,000.00",50%,"75,000.00"
Total Cost,,,,,"32,428,240.00",,"17,200,520.00"
