"Table 2.7: Occupational details of the community of MWS-014 (GN-wise)","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8"
,,"Government","Semi Government","Private","Self-Occupied","Estate Worker","Agriculture","Laborer","Foreign Employment","Other","Unemployed"
"485A","Bogahalanda","55","15","150","55","-","220","20","5","-","98"
"489E","Galauda North","32","2","113","23","-","142","16","2","-","36"
"489","Galauda South","13","-","20","6","-","90","25","5","-","25"
"488A","Hakuruthale","11","-","34","5","-","23","3","-","6","4"
"488B","Hilpenkandura","31","4","59","7","-","153","4","1","-","7"
"489C","Udakanda","22","2","44","11","-","147","87","9","-","26"
"489A","Udawatta East","74","9","107","38","-","284","89","8","15","55"
"489D","Udawatta West","59","6","85","48","-","252","32","2","44","13"
"485B","Welikada","69","3","110","20","-","174","37","11","23","68"
,"Total","366","41","722","213","-","1,485","313","43","88","332"
