"Table 5.18: Estimate of domestic water supply and water source protection-related activities","","","","",""
"GND No","Scheme","Problem to be addressed Recommendation","N","E","Estimated Cost"
"485/A","Galwala Spring","No reservation and surrounding is prone to annual fires. Recommend to make dense planting of mixed vegetation comprising Agave/Aloe vera/Akkapana/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Riparian plants of randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 300 m2.","208000","208000","208000"
"485/A","Bolpane Spring","No reservation and surrounding is prone to annual fires. Recommend to make dense planting of mixed vegetation comprising Agave/Aloe vera/Akkapana/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Riparian plants of randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2.","139100","139100","139100"
"485/A","Hunugala Spring","No reservation and surrounding is prone to annual fires. Recommend to make dense planting of mixed vegetation comprising Agave/Aloe vera/Akkapana/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Riparian plants of randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 300 m2.","208000","208000","208000"
"485/A","Gammadda Spring","No reservation and surrounding is prone to annual fires. Recommend to make dense planting of mixed vegetation comprising Agave/Aloe vera/Akkapana/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Riparian plants of randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 300 m2.","208000","208000","208000"
"485/B","Kombagolla Linda","No reservation and surrounding is prone to annual fires. Recommend to make dense planting of mixed vegetation comprising Agave/Aloe vera/Akkapana/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Riparian plants of randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 300 m2.","208000","208000","208000"
"485/B","Kuda Linda","No reservation and surrounding is prone to annual fires. Recommend to make dense planting of mixed vegetation comprising Agave/Aloe vera/Akkapana/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Riparian plants of randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 300 m2.","208000","208000","208000"
"485/B","Aswadduma Linda","No reservation and surrounding is prone to annual fires. Recommend to make dense planting of mixed vegetation comprising Agave/Aloe vera/Akkapana/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Riparian plants of randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2.","139100","139100","139100"
"485/B","Well in front of the Victoria National School","No reservation and surrounding is prone to annual fires. Recommend to make dense planting of mixed vegetation comprising Agave/Aloe vera/Akkapana/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Riparian plants of randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2.","139100","139100","139100"
"488 /A","Bodhigolla Agro well (Spring)","No reservation and surrounding is prone to annual fires. Recommend to make dense planting of mixed vegetation comprising Agave/Aloe vera/Akkapana/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Riparian plants of randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2.","139100","139100","139100"
"488 /A","Hakuruthale Linda (Spring)","No reservation and surrounding is prone to annual fires. Recommend to make dense planting of mixed vegetation comprising Agave/Aloe vera/Akkapana/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Riparian plants of randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2.","139100","139100","139100"
"488/B","Hanthana Linda (Spring)","No reservation and surrounding is prone to annual fires. Recommend to make dense planting of mixed vegetation comprising Agave/Aloe vera/Thel edaru/Akkapana/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Riparian plants of randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2.","139100","139100","139100"
