"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-014 belongs to Hanguranketha DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","485A","Bogahalanda","1. Soil conservation practices - Unagolla  (40°)","3","7.211772","80.786756","2.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","700,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Bolapane  (70°)","5","7.2138","80.79013","28 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","7,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"3. Soil conservation practices - Bolapane  (75°)","5","7.21505","80.7932","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Bolapane  (70°)","5","7.21384","80.79001","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Bogahalanda  (40°)","3","7.21066","80.786945","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","9,200,000",,,,,,,,,,,
"2","489E","Galauda North","1. Soil conservation practices - Pihillawatta  (45°)","2","7.174926","80.81763","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Kooraketiya  (70°)","5","7.176988","80.817742","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Yakkawala  (60°)","4","7.176874","80.818488","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Kooraketiya  (70°)","1","7.178147","80.818965","1.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","312,500","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Kooraketiya  (70°)","5","7.179478","80.818997","0.4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","100,000","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices - Kooraketiya  (75°)","1","7.179705","80.819021","0.4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","100,000","Labour and other basic services by the Local community","0.25 Years"
,,,"7. Soil conservation practices - Galbokka  (80°)","5","7.1761","80.81216","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"8. Soil conservation practices - Mee Gas Alla  (85°)","1","7.16206","80.82378","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","3,762,500",,,,,,,,,,,
"3","489","Galauda South","1. Soil conservation practices - Tea Watta  (75°)","5","7.164158","80.822109","2.4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","600,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Badiyawa  (70°)","5","7.164417","80.819264","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Wahugala  (60°)","1","7.166277","80.817128","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Watapuluwa Thenna  (60°)","5","7.168575","80.81679","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Bogahamula Hena  (45°)","5","7.168145","80.816488","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices - Bogahamula Hena  (60°)","5","7.167582","80.817168","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"7. Soil conservation practices - Wahugala  (60°)","3","7.165575","80.818267","2.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","700,000","Labour and other basic services by the Local community","0.25 Years"
,,,"8. Soil conservation practices - Badiyawa  (45°)","1","7.164352","80.817615","1.6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","400,000","Labour and other basic services by the Local community","0.25 Years"
