"Table 5.28: Cost estimates and Time frame","","","","","","","","","","","",""
"X","Item","Responsibility","Supervision","Total Cost  LKR","GOSL LA Contr","GOSL LA Contr   LKR","Year","NA","NA  1","NA  2","NA  3","NA  4"
,"Marketing /Product/ Entrepreneurship Development",,,,,,"24","25","26",,,
"1","Marketing and Development of Agricultural products",,,,,,,,,,,
"1.1","Mapping of value chain and collection/processing centres","LUPO","AD (P)","225000","100%","225000",,,,,,
"1.2","Forming producer associations/Farmer groups","AD (P)/AI/LDI/ EDO","AD (P)","135000","100%","135000",,,,,,
"1.3","MoUs with Line Agencies","DS","DS","225000","75%","168750",,,,,,
"1.4","Contract Buying/ Sales Agreements - Local/Export firms","DS/Private sector","DS","225000","75%","168750",,,,,,
"1.5","Packaging and Branding",,,,,,,,,,,
"1.5.1","Agreement with IDB for branding","IDB","AD (P)",,,,,,,,,
"1.5.2","Contracts with the private sector for branding","AD (P)/Firms","AD (P)","225000","25%","56250",,,,,,
"1.6","Monitoring & Evaluation","AD (P)","AD (P)",,,,,,,,,
"2","Market Linkage Development",,,,,,,,,,,
"2.1","Briefing session on contracts/agreements with LA/PP","AD (P)/LA/PP","AD (P)",,,,,,,,,
"2.2","Promote MWS products/services with existing websites","AD (P)/LA/PP","AD (P)",,,,,,,,,
"2.3","Creating E-market links for products/services","AD (P)/LA/PP","AD (P)",,,,,,,,,
"2.4","Develop Database and marketing information system","AD (P)","AD (P)","450000","100%","450000",,,,,,
"2.5","Participation in regional trade and consumer fairs","AD (P)/LA","AD (P)","1350000","50%","675000",,,,,,
"2.6","Link producers to financial institutions","AD (P)/LA","DS","67500","100%","67500",,,,,,
"2.7","Register youth on existing job sites","HRDO","AD (P)","45000","75%","33750",,,,,,
"2.8","Monitoring & Evaluation","MWMC","AD (P)",,,,,,,,,
"3","Infrastructure Development",,,,,,,,,,,
"3.1","Identify sites for economic hubs and sales centres","DS/AD (P)/ MDMWPC","DS","90000","100%","90000",,,,,,
"3.2","Renovation of unoccupied building/Infrastructure (Storage, handling drying, aggregation)","DS/AD (P)","DS","4500000","100%","4500000",,,,,,
"3.3","Identify farmer clusters","MWPC","AD (P)",,,,,,,,,
"3.4","Refurbish polytunnels for seed nurseries","AI/LDI/EDO","AD (P)","4500000","50%","2250000",,,,,,
"3.5","Monitoring & Evaluation","MWPC","AD (P)",,,,,,,,,
"4","Marketing and Development of Non-agricultural products",,,,,,,,,,,
"4.1","Mapping of value chain and collection/processing centers","LUPO","AD (P)","225000","100%","225000",,,,,,
"4.2","Forming producer associations","AD (P)/EDO","AD (P)","135000","50%","67500",,,,,,
"4.3","MoUs with Line Agencies","DS","DS",,,,,,,,,
"4.4","Contract Buying/ Sales Agreements - Local/Export firms","DS/Private sector","DS","225000","100%","225000",,,,,,
"4.5","Packaging and Branding",,,,,,,,,,,
"4.5.1","Agreement with IDB for branding","IDB","AD (P)",,,,,,,,,
"4.5.2","Contracts with the private sector for branding","DS/Firms","DS","225000","25%","56250",,,,,,
"4.6","Monitoring & Evaluation","MWPC","AD (P)",,,,,,,,,
"5","Tourism Development",,,,,,,,,,,
"5.1","MoUs with Line Agencies","DS","DS",,,,,,,,,
"5.2","Promote MWS tourism on existing websites",,"DS",,,,,,,,,
"5.3","Agreements with private sector firms",,"AD (P)","450000","50%","225000",,,,,,
"5.4","Tourism infrastructure Development",,"AD (P)","200000","100%","200000",,,,,,
"5.5","Monitoring & Evaluation","MWPC","AD (P)",,,,,,,,,
,"Total Cost",,,"13497500",,"9818750",,,,,,
