"Table 5.4: Reported landslides/Other hazards in MWS-014 belong to Hanguranketha DS Division","","","","","","",""
"No","GN Division No","GN Division","Land Slides","Coordinates","NBRO Recommendation","Proposed Measures","NA"
,,,,"N or X","E or Y",,
"1","485A","Bogahalanda",,,,,
"2","489E","Galauda North","No special issues reported",,,,
"3","489","Galauda South","Soil erosion - Galbokka","7.175586","80.811376","Needs NBRO concern","Grasses need to be cultivated"
,,,"Soil banks are eroded and fallen on houses - Palle Galauda","7.169217","80.819665","Needs NBRO concern","Slope of the steep need to be adjusted 40 degrees and grasses need to be cultivated"
"4","488A","Hakuruthale","Soil erosion on floor of the worship area of the temple - Hakuruthale Sri Sumangalaramaya","7.198971","80.798479","Needs NBRO concern","Constructing a rubble masonry wall (L - 30 m, W - 0.6 m H - 6 m)"
,,,"Erosion on banks of the temple - Welikada Sri Dhalada Len Aranya Senasanaya","7.220955","80.791065","Needs NBRO concern","Constructing a retaining wall (L - 20 m, W - 0.6 m, H - 7.6 m)"
"5","488B","Hilpenkandura","No special issues reported",,,,
"6","489C","Udakanda","Landsliding - Batagolla Udakanda Road","7.161266","80.810988","Needs NBRO concern","Constructing a rubble masonry wall (L - 45.7 m, W - 0.6 m H - 9.1 m)"
"7","489A","Udawatta East","Landsliding - Easten Reservoir","7.17774","80.801485","NBRO is aware","Steepness need to be reduced in the reservation and conservation practices need to be established."
,,,,,,,"Risky families need to be evacuated"
"8","489D","Udawatta West","No special issues reported",,,,
"9","485B","Welikada","No special issues reported",,,,
