"Table 5.6: Salient details of Bandiyawa Wewa and Goda Iluk Wewa in MWS-014","",""
"Tank Name","Bandiyawa Wewa","Goda Iluk Wewa"
"GN","Uda Galauda","Udakanda"
"MWS","14","14"
"DS","Hanguranketha","Hanguranketha"
"District","Nuwara Eliya","Nuwara Eliya"
"Ownership","DAD","DAD"
"Construction","Before 1985","before 2000"
"Location (Lat, Lon)","7.16407 E","7.168988 E"
"Agro-Ecological zone","80.81693 N","80.811382 N"
"Water Surface Area (approx.) (ha)","0.3","0.36"
"Tank capacity (m3)",,
"Catchment Area (gross) (km2)",,
"Total command area (ha)","18.61","3.24"
"Farm Organisation","Uda Galauda Sulu",
"F.O. registration number",,
"Reservations are available or not",,
"Reservations are marked or not","Yes","No"
,"-","No"
"Bund",,
"Bund Length (m)","50","55"
"Top width (m)","3","1.5"
"Visible bund height (m)","6","2"
"US & DS slopes (h/b)","1:02","1:02"
"Availability of rip rap","-","-"
,,
"Spillway","CO+Drop(DS)",
"Station (km+m)","0+010",
"Type","CO","CO"
"Length (m)","4","2.5"
"Observed Afflux (m)","0.6","0.15"
"Duration of spilling (days)","30","5"
,,
"Sluices",,
"No of Sluices (nos)","1","1"
"Station/s (km+m)","0+010","0+030"
"Type/s","HW (Attached to spill)","HW"
"Barrel size/s (mm)","300","150"
"Command area of the sluice (ha)","12.14",
,,
"Observations / Damages","Silt and decomposed material deposits in upstream area about 1000 sq.m. Growth of aquatic weed, Clearing of land around the tank for cultivation","Sluice gate and hoisting mechanism is unserviceable. Run off carries silt and debris heavily from the catchment. No dead storage"
"Recommendation","1. Provide a Vetiver grass edge along the HFL boundary /road /track with bamboo bushes.

2. Provide 1500 sqm reservation and plant dense randomly mixed potential natural vegetation, agave, areca & vetiver plantation along the perimeter with few varieties of fruits and spices.
3.Desilting and excavation in upstream side of the tank.","1.Provide a Vetiver grass edge along the HFL boundary /road /track

2. Provide 2000 sqm reservation and plant dense randomly mixed potential natural vegetation, agave, areca & vetiver plantation along the perimeter with few varieties of fruits and spices.
3.Excavate a wedge of 55m wide and 2m depth to enhance the working capacity and dead storage 4.Erect rubble packing to prevent debris and silt entering"
