No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,,Unit Cost (Rs.),Total Cost (Rs.),Sum of Costs (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation,
1,485A,Bogahalanda,1. Renovation of natural drains - Matiwala minor stream 1,5,Off,7.213649,80.788785,600 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"60,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
2,485A,Bogahalanda,2. Renovation of natural drains - Matiwala minor stream 2,4,Off,7.213666,80.7888,700 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"70,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
3,485A,Bogahalanda,3. Renovation of natural drains - Unagolla minor stream,5,Off,7.211026,80.787491,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
4,485A,Bogahalanda,4. Renovation of natural drains - Hunugale minor stream,5,Off,7.21054,80.78725,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
5,485A,Bogahalanda,5. Renovation of natural drains - Minor stream near Gammadda well,1,Off,7.21054,80.784255,750 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"75,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
6,485A,Bogahalanda,6. Soil conservation practices - Unagolla (40°),3,On,7.211772,80.786756,2.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"700,000.00",,Labour and other basic services by the Local community,,0.25 Years
7,485A,Bogahalanda,7. Soil conservation practices - Bolapane (70°),5,On,7.2138,80.79013,28 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"7,000,000.00",,Labour and other basic services by the Local community,,0.5 Years
8,485A,Bogahalanda,8. Soil conservation practices - Bolapane (75°),5,On,7.21505,80.7932,1 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"250,000.00",,Labour and other basic services by the Local community,,0.25 Years
9,485A,Bogahalanda,9. Soil conservation practices - Bolapane (70°),5,On,7.21384,80.79001,1 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"250,000.00",,Labour and other basic services by the Local community,,0.25 Years
10,485A,Bogahalanda,10. Soil conservation practices - Bogahalanda (40°),3,On,7.21066,80.786945,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"1,000,000.00","9,805,000.00",Labour and other basic services by the Local community,,0.25 Years
11,489E,Galauda North,1. Renovation of natural drains - Gama minor stream,3,Off,7.175304,80.818218,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
12,489E,Galauda North,2. Soil conservation practices - Pihillawatta (45°),2,On,7.174926,80.81763,2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"500,000.00",,Labour and other basic services by the Local community,,0.25 Years
13,489E,Galauda North,3. Soil conservation practices - Kooraketiya (70°),5,On,7.176988,80.817742,2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"500,000.00",,Labour and other basic services by the Local community,,0.25 Years
14,489E,Galauda North,4. Soil conservation practices - Yakkawala (60°),4,On,7.176874,80.818488,0.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"125,000.00",,Labour and other basic services by the Local community,,0.25 Years
15,489E,Galauda North,5. Soil conservation practices - Kooraketiya (70°),1,On,7.178147,80.818965,1.25 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"312,500.00",,Labour and other basic services by the Local community,,0.25 Years
16,489E,Galauda North,6. Soil conservation practices - Kooraketiya (70°),5,On,7.179478,80.818997,0.4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"100,000.00",,Labour and other basic services by the Local community,,0.25 Years
17,489E,Galauda North,7. Soil conservation practices - Kooraketiya (75°),1,On,7.179705,80.819021,0.4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"100,000.00",,Labour and other basic services by the Local community,,0.25 Years
18,489E,Galauda North,8. Soil conservation practices - Galbokka (80°),5,On,7.1761,80.81216,8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"2,000,000.00",,Labour and other basic services by the Local community,,0.5 Years
19,489E,Galauda North,9. Soil conservation practices - Mee Gas Alla (85°),1,On,7.16206,80.82378,0.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"125,000.00","3,862,500.00",Labour and other basic services by the Local community,,0.25 Years
20,489,Galauda South,1. Renovation of natural drains - Gama minor stream,5,Off,7.164725,80.819054,600 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"60,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
21,489,Galauda South,2. Renovation of natural drains - Rambukgete minor stream,1,Off,7.173954,80.814555,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"30,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
22,489,Galauda South,3. Renovation of natural drains - Galbokka minor stream 1,4,Off,7.175092,80.811844,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"30,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
23,489,Galauda South,4. Renovation of natural drains - Galbokka minor stream 2,1,Off,7.174908,80.811287,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"20,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
24,489,Galauda South,10. Soil conservation practices - Tea Watta (75°),5,On,7.164158,80.822109,2.4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"600,000.00",,Labour and other basic services by the Local community,,0.25 Years
25,489,Galauda South,5. Soil conservation practices - Badiyawa (70°),5,On,7.164417,80.819264,12 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"3,000,000.00",,Labour and other basic services by the Local community,,0.5 Years
26,489,Galauda South,6. Soil conservation practices - Wahugala (60°),1,On,7.166277,80.817128,16 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"4,000,000.00",,Labour and other basic services by the Local community,,0.5 Years
27,489,Galauda South,7. Soil conservation practices - Watapuluwa Thenna (60°),5,On,7.168575,80.81679,2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"500,000.00",,Labour and other basic services by the Local community,,0.25 Years
28,489,Galauda South,8. Soil conservation practices - Bogahamula Hena (45°),5,On,7.168145,80.816488,0.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"125,000.00",,Labour and other basic services by the Local community,,0.25 Years
29,489,Galauda South,9. Soil conservation practices - Bogahamula Hena (60°),5,On,7.167582,80.817168,2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"500,000.00",,Labour and other basic services by the Local community,,0.25 Years
30,489,Galauda South,10. Soil conservation practices - Wahugala (60°),3,On,7.165575,80.818267,2.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"700,000.00",,Labour and other basic services by the Local community,,0.25 Years
31,489,Galauda South,11. Soil conservation practices - Badiyawa (45°),1,On,7.164352,80.817615,1.6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"400,000.00",,Labour and other basic services by the Local community,,0.25 Years
32,489,Galauda South,12. Soil conservation practices - Rambukgate (60°),3,On,7.173955,80.814538,1 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"250,000.00","10,215,000.00",Labour and other basic services by the Local community,,0.25 Years
33,488A,Hakuruthale,1. Renovation of natural drains - Bodhigolla minor stream 1,2,Off,7.199153,80.793559,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
34,488A,Hakuruthale,2. Renovation of natural drains - Bodhigolla minor stream 2,5,Off,7.19843,80.793674,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
35,488A,Hakuruthale,3. Renovation of natural drains - Hakuruthale minor stream,1,Off,7.199192,80.800261,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
36,488A,Hakuruthale,4. Soil conservation practices - Bodhigolla (70°),1,On,7.21792,80.793411,8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"2,000,000.00",,Labour and other basic services by the Local community,,0.25 Years
37,488A,Hakuruthale,5. Soil conservation practices - Bodhigolla (45°),1,On,7.200924,80.794594,16 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"4,000,000.00",,Labour and other basic services by the Local community,,0.25 Years
38,488A,Hakuruthale,6. Soil conservation practices - Bodhigolla (45°),1,On,7.197529,80.794379,10 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"2,500,000.00",,Labour and other basic services by the Local community,,0.25 Years
39,488A,Hakuruthale,7. Soil conservation practices - Bodhigolla (75°),1,On,7.196757,80.793184,14 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"3,500,000.00",,Labour and other basic services by the Local community,,0.25 Years
40,488A,Hakuruthale,8. Soil conservation practices - Hakuruthale Sri Sumangalaramaya (70°),5,On,7.199012,80.798453,1.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"375,000.00",,Labour and other basic services by the Local community,,0.25 Years
41,488A,Hakuruthale,9. Soil conservation practices - Welikada Sri Dhalada Len Aranya Senasanaya (85°),2,On,7.220906,80.791194,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"1,000,000.00",,Labour and other basic services by the Local community,,0.25 Years
42,488A,Hakuruthale,10. Constructing a rubble masonry wall - Hakuruthale Sri Sumangalaramaya,1,Off,7.198971,80.798479,30 m x 6 m,Rubble masonry wall/ Retaining wall,,"2,000.00 m-2","360,000.00",,Labour and other basic services by the Local community,,0.5 Years
43,488A,Hakuruthale,11. Constructing a retaining wall - Welikada Sri Dhalada Len Aranya Senasanaya,1,Off,7.220955,80.791065,20 m x 7.6 m,Retaining wall,,"2,000.00 m-2","304,000.00","14,339,000.00",Labour and other basic services by the Local community,,0.5 Years
44,488B,Hilpenkandura,1. Renovation of natural drains - Hilpan minor stream,1,Off,7.18815,80.80755,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
45,488B,Hilpenkandura,2. Renovation of natural drains - Murungawatta minor stream,1,Off,7.195121,80.812566,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
46,488B,Hilpenkandura,3. Soil conservation practices - Hilpenkandura (75°),2,On,7.18912,80.80831,32 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"8,000,000.00",,Labour and other basic services by the Local community,,0.5 Years
47,488B,Hilpenkandura,4. Soil conservation practices - Hilpenkandura (70°),4,On,7.187935,80.805778,48 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"12,000,000.00",,Labour and other basic services by the Local community,,1 Year
48,488B,Hilpenkandura,5. Soil conservation practices - Kohombhagana (30°),1,On,7.194799,80.816994,8 ha,"Lock and spills
Stone terracing/live fencing, as applied",,400.00 m-1,"3,200,000.00","23,300,000.00",Labour and other basic services by the Local community,,0.25 Years
49,489C,Udakanda,1. Renovation of natural drains - Diyathala Kanda minor stream,5,Off,7.165706,80.808852,2.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"250,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
50,489C,Udakanda,2. Renovation of natural drains - minor stream,5,Off,7.166363,80.80882,2.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"250,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
51,489C,Udakanda,3. Renovation of natural drains - Werella minor stream,,Off,_,_,2.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"250,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
52,489C,Udakanda,4. Renovation of natural drains - Mathala Mada minor stream,1,Off,7.164521,80.807771,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
53,489C,Udakanda,5. Renovation of natural drains - Kotiya Gala minor stream,5,Off,7.164435,80.814653,400 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"40,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
54,489C,Udakanda,6. Renovation of natural drains - Badiyawa Mala minor stream,5,Off,7.165286,80.814837,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"30,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
55,489C,Udakanda,7. Soil conservation practices - Matala Mada (65°),5,On,7.165575,80.810151,15.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"3,800,000.00",,Labour and other basic services by the Local community,,0.5 Years
56,489C,Udakanda,8. Soil conservation practices - Matala Mada (80°),5,On,7.16673,80.808322,3.6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"900,000.00",,Labour and other basic services by the Local community,,0.25 Years
57,489C,Udakanda,9. Soil conservation practices - Udakanda (70°),5,On,7.163521,80.806982,8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"2,000,000.00",,Labour and other basic services by the Local community,,0.5 Years
58,489C,Udakanda,10. Soil conservation practices - Wilpassa (70°),5,On,7.162126,80.80653,1.6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"400,000.00",,Labour and other basic services by the Local community,,0.25 Years
59,489C,Udakanda,11. Soil conservation practices - Wilpassa Tea Land (65°),5,On,7.161551,80.805767,80 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"20,000,000.00",,Labour and other basic services by the Local community,,1 Year
60,489C,Udakanda,12. Soil conservation practices - Wilpassa (70°),4,On,7.162639,80.809092,2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"500,000.00",,Labour and other basic services by the Local community,,0.25 Years
61,489C,Udakanda,13. Soil conservation practices - Badiyawa (70°),1,On,7.168572,80.810922,4.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"1,200,000.00",,Labour and other basic services by the Local community,,0.25 Years
62,489C,Udakanda,14. Constructing a rubble masonry wall - Batagolla Udakanda Road,3,Off,7.161266,80.810988,45.7 m x 9.1 m,Rubble masonry wall/Retaining wall,,"2,000.00 m-2","831,740.00","30,551,740.00",Labour and other basic services by the Local community,,0.5 Years
63,489A,Udawatta East,1. Renovation of natural drains - Dulgaha Watta minor stream,1,Off,7.181451,80.798096,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
64,489A,Udawatta East,2. Renovation of natural drains - Thotupala minor stream (Maha minor stream),1,Off,7.182193,80.79891,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
65,489A,Udawatta East,3. Renovation of natural drains - Naaya minor stream,5,Off,7.183558,80.802342,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
66,489A,Udawatta East,4. Renovation of natural drains - Ulpatha minor stream,4,Off,7.183205,80.80333,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
67,489A,Udawatta East,5. Renovation of natural drains - Kobokura minor stream,1,Off,7.178225,80.797961,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
68,489A,Udawatta East,6. Soil conservation practices - Udawatta East (40°),1,On,7.182326,80.795684,12 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"3,000,000.00",,Labour and other basic services by the Local community,,0.5 Years
69,489A,Udawatta East,7. Soil conservation practices - Udawatta East (30°),1,On,7.17858,80.800124,12 ha,"Lock and spills
Stone terracing/live fencing, as applied",,400.00 m-1,"4,800,000.00",,Labour and other basic services by the Local community,,0.5 Years
70,489A,Udawatta East,8. Soil conservation practices - Udawatta East (80°),2,On,7.17774,80.801485,20 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"5,000,000.00",,Labour and other basic services by the Local community,,0.5 Years
71,489A,Udawatta East,9. Soil conservation practices - Udawatta East (30°),1,On,7.179976,80.797069,8 ha,"Lock and spills
Stone terracing/live fencing, as applied",,400.00 m-1,"3,200,000.00","16,700,000.00",Labour and other basic services by the Local community,,0.25 Years
72,489D,Udawatta West,1. Renovation of natural drains - Morakatiya minor stream,3,Off,7.183902,80.79606,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
73,489D,Udawatta West,2. Renovation of natural drains - Galekade minor stream,2,Off,7.184002,80.801768,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"30,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
74,489D,Udawatta West,3. Renovation of natural drains - Thanne Hewala minor stream,3,Off,7.187163,80.802565,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"20,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
75,489D,Udawatta West,4. Renovation of natural drains - From Keenamankada minor stream,3,Off,7.186394,80.801024,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"15,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
76,489D,Udawatta West,5. Soil conservation practices (60°),5,On,7.184407,80.795732,0.25,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"3,000,000.00",,Labour and other basic services by the Local community,,0.5 Years
77,489D,Udawatta West,6. Soil conservation practices (45°),1,On,7.183617,80.796791,6.8,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"1,700,000.00",,Labour and other basic services by the Local community,,0.5 Years
78,489D,Udawatta West,7. Soil conservation practices (10°),1,On,7.187733,80.80234,0.25,"Lock and spills
Stone terracing/live fencing, as applied",,400.00 m-1,"100,000.00",,Labour and other basic services by the Local community,,0.5 Years
79,489D,Udawatta West,8. Soil conservation practices (60°),4,On,7.186166,80.801444,0.25,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"62,500.00",,Labour and other basic services by the Local community,,0.5 Years
80,489D,Udawatta West,9. Soil conservation practices (70°),4,On,7.184333,80.800937,1,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"250,000.00","5,377,500.00",Labour and other basic services by the Local community,,0.5 Years
81,485B,Welikada,1. Renovation of natural drains - Minor stream near Mr. Robert's house,1,Off,7.221433,80.787081,100 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"10,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
82,485B,Welikada,2. Renovation of natural drains - Minor stream near Podi Appu's house,1,Off,7.222937,80.787257,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"20,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
83,485B,Welikada,3. Renovation of natural drains - Demini Ara minor stream,1,Off,7.222477,80.788987,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"20,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
84,485B,Welikada,4. Renovation of natural drains - Minor stream across the Badulu road,2,Off,7.221305,80.7887,50 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
85,485B,Welikada,5. Renovation of natural drains - Minor sub stream flows to Demini Arawa,1,Off,7.218759,80.787647,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
86,485B,Welikada,6. Renovation of natural drains - Minor stream flows from Bogala Kanda,3,Off,7.221648,80.785513,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
87,485B,Welikada,7. Soil conservation practices (30°) - Victoria National School,5,On,7.22014,80.785458,0.25,"Lock and spills
Stone terracing/live fencing, as applied",,400.00 m-1,"100,000.00",,Labour and other basic services by the Local community,,0.5 Years
88,485B,Welikada,8. Soil conservation practices (60°) - Boundaries of Mahaweli Authority on both sides of the road,4,On,7.219973,80.785543,0.25,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"62,500.00",,Labour and other basic services by the Local community,,0.5 Years
89,485B,Welikada,9. Soil conservation practices (75°) - Welikada Sri Dhalada Len Aranya Senasanaya,1,On,7.223547,80.787088,40,"Live fencing/SALT
Stone terracing/lock and spills, as applied",,250.00 m-1,"10,000,000.00",,Labour and other basic services by the Local community,,0.5 Years
90,485B,Welikada,10. Soil conservation practices (70°) - Reservation land of reservoirs,1,On,7.222477,80.788987,80,Live fencing/SALT,,250.00 m-1,"20,000,000.00",,Labour and other basic services by the Local community,,0.5 Years
91,485B,Welikada,11. Soil conservation practices (20°) - Near Badulu road,1,On,7.221348,80.78891,1.2,"Lock and spills
Stone terracing/live fencing, as applied",,400.00 m-1,"480,000.00",,Labour and other basic services by the Local community,,0.5 Years
92,485B,Welikada,12. Soil conservation practices (30°) - Welikada (Nawaragala),4,On,7.218722,80.787555,2.4,"Lock and spills
Stone terracing/live fencing, as applied",,400.00 m-1,"960,000.00",,Labour and other basic services by the Local community,,0.5 Years
