No,GND No.,Scheme,Problem to be addressed/Recommendation,N,E,Estimated Cost
1,485/A,Galwala Spring,"No reservation and surrounding is prone to annual fires. Recommend to make dense planting of mixed vegetation comprising Agave/Aloe vera/Akkapana/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Riparian plants of randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 300 m2. ",7.21447,80.7923,"160,000"
2,485/A,Bolpane Spring,"No reservation and surrounding is prone to annual fires. Recommend to make dense planting of mixed vegetation comprising Agave/Aloe vera/Akkapana/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Riparian plants of randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2. ",7.21488,80.7921,"107,000"
3,485/A,Hunugala Spring,"No reservation and surrounding is prone to annual fires. Recommend to make dense planting of mixed vegetation comprising Agave/Aloe vera/Akkapana/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Riparian plants of randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 300 m2. ",7.2163,80.787657,"160,000"
4,485/A,Gammadda Spring,"No reservation and surrounding is prone to annual fires. Recommend to make dense planting of mixed vegetation comprising Agave/Aloe vera/Akkapana/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Riparian plants of randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 300 m2. ",7.21062,80.784254,"160,000"
5,485/B,Kombagolla Linda,"No reservation and surrounding is prone to annual fires. Recommend to make dense planting of mixed vegetation comprising Agave/Aloe vera/Akkapana/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Riparian plants of randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 300 m2. ",7.22202,80.785092,"160,000"
6,485/B,Kuda Linda,"No reservation and surrounding is prone to annual fires. Recommend to make dense planting of mixed vegetation comprising Agave/Aloe vera/Akkapana/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Riparian plants of randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 300 m2. ",7.22179,80.785597,"160,000"
7,485/B,Aswadduma Linda,"No reservation and surrounding is prone to annual fires. Recommend to make dense planting of mixed vegetation comprising Agave/Aloe vera/Akkapana/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Riparian plants of randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2. ",7.21598,80.786419,"107,000"
8,485/B,Well in front of the Victoria National School,"No reservation and surrounding is prone to annual fires. Recommend to make dense planting of mixed vegetation comprising Agave/Aloe vera/Akkapana/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Riparian plants of randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2. ",7.21844,80.786588,"107,000"
9,488 /A,Bodhigolla Agro well (Spring),"No reservation and surrounding is prone to annual fires. Recommend to make dense planting of mixed vegetation comprising Agave/Aloe vera/Akkapana/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Riparian plants of randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2. ",7.19779,80.79324,"107,000"
10,488 /A,Hakuruthale Linda (Spring),"No reservation and surrounding is prone to annual fires. Recommend to make dense planting of mixed vegetation comprising Agave/Aloe vera/Akkapana/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Riparian plants of randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2. ",7.1992,80.800143,"107,000"
