No,GND No.,Scheme,Problem to be addressed /Recommendations,N,E,Estimated Cost
1,488/B,Nayawatta canal,"Concrete lining requested for 152m length. Recommend 1. Earth filling to narrow tracks and depressions to form channel bund of 1.5m wide and length about 150 m. 2. Protection by cover crops by cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface and vetiver grass edges.",7.188189,80.806043,"134,500"
2,488/B,Polwatta canal,"Concrete lining requested for 250 m length. Recommend 1. Earth filling to narrow tracks and depressions to form channel bund of 1.5m wide and length about 250 m. 2. Protection by cover crops by cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface and vetiver grass edges.",7.187876,80.805754,"224,000"
3,488/B,Waralketiya canal,"Concrete lining requested for 300m length. Recommend 1. Earth filling to narrow tracks and depressions to form channel bund of 1.5m wide and length about 300 m. 2. Protection by cover crops by cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface and vetiver grass edges.",7.190216,80.808263,"268,500"
4,488/B,Murungawatta canal,"Concrete lining requested for 500m length. Recommend 1. Earth filling to narrow tracks and depressions to form channel bund of 1.5m wide and length about 500 m. 2. Protection by cover crops by cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface and vetiver grass edges.",7.194889,80.812297,"448,000"
5,489 C,Mathalawa canal,Down stream embankment failure of the canal(L-10m). Recommend to construct 1.5m high x 800mm base x 150mm thick x10m long RCC retaining wall.,7.163994,80.80742,"427,500"
6,489 C,Pathaga,Down stream embankment failure of the canal(L-6m). Recommend to construct 1.5m high x 800mm base x 150mm thick x6m long RCC retaining wall.,7.163994,80.80742,"256,500"
7,489 C,Matala Mada canal,"Concrete lining requested. Recommend 1. Earth filling to narrow tracks and depressions to form channel bund of 1.5m wide and length about 100 m. 2. Protection by cover crops by cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface and vetiver grass edges.",7.162126,80.80653,"89,500"
8,489 C,Mathala mada wela meda canal,"Concrete lining requested. Recommend 1. Earth filling to narrow tracks and depressions to form channel bund of 1.5m wide and length about 150 m. 2. Protection by cover crops by cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface and vetiver grass edges.",7.163142,80.809673,"134,500"
9,489 C,Batagolla canal,"Concrete lining requested. Recommend 1. Earth filling to narrow tracks and depressions to form channel bund of 1.5m wide and length about 150 m. 2. Protection by cover crops by cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface and vetiver grass edges.",7.162235,80.810304,"134,500"
10,489 D,Thotupala canal,"Concrete lining requested for 400 m. Recommend 1. To construct concrete canal lining of 300 mmx300mmx 100mm thick x 200m length. 2. Earth filling to narrow tracks and depressions to form channel bund of 1.5m wide and length about 200 m. 3. Protection by cover crops by cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface and vetiver grass edges.",7.182483,80.799124,"1,507,500"
11,489 D,Thanne henawala anicut,"New anicut requested for over 7 acre cultivation. Recommend (5m length x 0.9m high x 300mm thick and 900mm base inverted ""T"" shape profile grade 20 concrete wall as a weir with two openings and anicut planks (1.2sq.m).",7.187163,80.802565,"127,000"
12,489 D,Thanne henawala canal,"Concrete lining requested for 500m. Recommend 1. Earth filling to narrow tracks and depressions to form channel bund of 1.5m wide and length about 500 m. 2. Protection by cover crops by cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface and vetiver grass edges.3. Plant Areca nut seedlings in both sides at 1m spacing for 200m length. ",7.187862,80.802845,"448,000"
13,489 D,Welankada canal,"Concrete lining requested for 500m. Recommend 1. Earth filling to narrow tracks and depressions to form channel bund of 1.5m wide and length about 500 m. 2. Protection by cover crops by cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface and vetiver grass edges.3. Plant Areca nut seedlings in both sides at 1m spacing for 200m length. ",7.186989,80.800854,"448,000"
14,489 D,Welankada sub canal,"Concrete lining requested for 200m. Recommend 1. Earth filling to narrow tracks and depressions to form channel bund of 1.5m wide and length about 200 m. 2. Protection by cover crops by cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface and vetiver grass edges.3. Plant Areca nut seedlings in both sides at 1m spacing for 200m length. ",7.186703,80.801202,"179,000"
15,489/E,Palle Aswadduma canal,"Seepage towards the Down Stream, and requesting retaining wall for 1km length for 30 acre command area. Recommend 1. Earth filling to narrow tracks and depressions to form channel bund of 1.5m wide and length about 800 m. 2. Protection by cover crops by cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface and vetiver grass edges.3. Plant Areca nut seedlings in both sides at 1m spacing for 600m length. ",7.175274,80.818075,"716,500"
16,489/E,Gama Kandura Anicut,"There is no anicut structure. Recommend (6m length x 0.9m high x 300mm thick and 900mm base inverted ""T"" shape profile grade 20 concrete wall as a weir and two openings with anicut planks (1.2sq.m).",7.175038,80.81858,"147,000"
17,489/E,Upper Aswadduma canal,"Seepage towards the Down Stream and requesting concreting. Recommend 1. Earth filling to narrow tracks and depressions to form channel bund of 1.5m wide and length about 300 m. 2. Protection by cover crops by cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface and vetiver grass edges.3. Plant Areca nut seedlings in both sides at 1m spacing for 300m length. ",7.177013,80.817335,"268,500"
18,489/E,Olagomuwa canal,Canal profile is not sufficient for delivering of water. Recommend 1. To excavate 600mm base width and 1:2 side slope canal for 500m length 2. Plant Areca nut seedlings in both sides at 1m spacing for 500m length and gaps shall be filled with vetiver grass for erosion protection.,7.17699,80.816913,"180,000"
19,489/E,Yakkatana canal,"Canal is available for 200 m, rest of the canal runs through private lands. Recommend 1. To excavate 600mm base width and 1:2 side slope canal for 200m length 2. Plant Areca nut seedlings in both sides at 1m spacing for 500m length and gaps shall be filled with vetiver grass for erosion protection. ",7.176819,80.81772,"142,500"
20,489,Rambuk gate Pathaha,Silting and seepage of the water hole about 25 sq.m surface area. Recommend 1. to employ small excavator (PC 30) for 16 hours to excavate silt and deposits. 2. plant double row of Areca nut  seedlings @1m spacing with vetiver grass for erosion control.,7.173712,80.814695,"71,000"
21,489,Galbokka Pathaha,Silting and seepage of the water hole about 50 sq.m surface area. Recommend 1. to employ small excavator (PC 30) for 16 hours to excavate silt and deposits. 2.Earthfilling for the down stream for seepage control. 3. plant double row of Areca nut  seedlings @1m spacing with vetiver grass for erosion control.,7.17505,80.811616,"96,000"
