"Table 5.34: Timeframe for the implementation","","","","","","","","","","","","","","",""
"X","Activities","X2024","X2025","X2026","X2027","Responsibility","Supervision","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7"
,,"Maha","Yala","Maha","Yala","Maha","Yala",,,,,,,,
"1","Supporting Export of agricultural crops",,,,,,,,,,,,,,
"1.1","Identification of farmers and conducting basic awareness on cultivation of export agriculture crops",,,,,,,"MWMC/ EO","AD (P)",,,,,,
"1.2","Make initial arrangements with DEA to supply plants.",,,,,,,"AD (P)","DS",,,,,,
"1.3","Supply and distribution of plants (Coffee, Pepper, Vanilla, Clove, Ginger)",,,,,,,"EO(DEA)","AD (P)",,,,,,
"1.4","Conducting awareness quality improvement and minimizing post-harvest losses",,,,,,,"EO","ADO",,,,,,
"1.5","Monitoring and supervision",,,,,,,"MWMC","EO (DEA)",,,,,,
"2","Supporting paddy cultivation",,,,,,,,,,,,,,
"2.1","Identification and signing of MoU with selected farmers",,,,,,,,,,,,,"MWMC","ADO"
"2.2","Conducting basic awareness of the “Parachute method.”",,,,,,,,,,,,,"AI","ADO/AD (P)"
"2.3","Arranging of farmers contribution (50% of the cost)",,,,,,,,,,,,,"MWMC","AD (P)"
"2.4","Supply and distribution of seed planting trays",,,,,,,,,,,,,"ADO","AD (P)"
"2.5","Monitoring and supervision",,,,,,,,,,,,,"MWMC","AI"
"3","Implementation of protected agricultural methods (polytunnel)",,,,,,,,,,,,,,
"3.1","Identification and signing of MoU with selected farmers",,,,,,,,,,,,,"AI","AD(P)"
"3.2","Conduct awareness on protected agriculture",,,,,,,,,,,,,"TO","AI"
"3.3","Arranging of farmer contribution (50% of the cost)",,,,,,,,,,,,,"MWMC","AI/AD (P)"
"3.4","Supply and distributions of polytunnel",,,,,,,,,,,,,"AI","AD (P)"
"3.5","Monitoring and supervision",,,,,,,,,,,,,"MWMC","AI"
"4","Supporting fruit cultivation (Banna, Mango, Avocado)",,,,,,,,,,,,,,
"4.1","Identification farmers and conducting basic awareness on cultivation",,,,,,,,,,,,,"MWMC/ AI","ADO"
"4.2","Land preparation for cultivation",,,,,,,,,,,,,"Beneficiaries","AI"
"4.3","Supply and distributions of fruit plants to the farmers",,,,,,,,,,,,,"ADO","AD (P)"
"4.4","Monitoring and supervision",,,,,,,,,,,,,"MWMC","AI"
"5","Supporting animal husbandry",,,,,,,,,,,,,,
"5.1","Identification and signing of MOU with selected farmers",,,,,,,,,,,,,"MWMC/LDI","Vet. Surgeon"
"5.2","Conducting basic awareness programs",,,,,,,,,,,,,"LDI","Vet. Surgeon"
"5.3","Supply and providing of suitable animals - Cows, Goat, Chicks",,,,,,,,,,,,,"Vet. Surgeon","DS"
"5.4","Providing support to the construction of sheds, Sheds - cow, Sheds – goat",,,,,,,,,,,,,"Vet. Surgeon","DS"
"5.5","Monitoring and supervision",,,,,,,,,,,,,"MWMC","LDI"
