"Table 5.37: Expenditure Estimate for training programs","","","","","","","",""
"No","Activity","Number of trainings","Duration in Days","Total   of Participants","Total cost  LKR","Con  From DSD LKR  Institution","Project Con  LKR","Proposed training Partner"
"1","Project Awareness and Orientation Program (For MWS-015, MWS-016, MWS-017, MWS-018-1,MWS-019, MWS-020-1 and MWS-021-2.)","7","1","407","381,600","17,500","364,100","PMU"
"2","Training of Trainers (for selected officers at DSD level. Commun for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2)","1","3","20","364,750","90,000","274,750","DOA/TBD"
"3","Water Management Training for the Selected Development Officers of DAD in Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","DAD/ KITI",,,,,
"4","Agriculture productivity improvement training for ARPAs and EDOs of Mathurata DSD (Common for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2)","3","3","104","1,435,497","374,400","1,061,097","NRMC+ DEA"
"5","Good Practices in Agrochemicals and Fertilizer application for ARPAs and EDOs of Mathurata DSD (Common for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2)","3","1","104","225,260","7,500","217,760","DOA/ NRMC/ University"
"6","Climate Change Adaptation Awareness for MWMC (including technical committee members)","1","1","19","62,710","2,500","60,210","DOA/University"
"7","Construction Supervisory – Basic Training for Economic Development Officers of Mathurata DSD (Common for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2)","2","1","52","116,480","5,000","111,480","District Engineer of District Secretariat"
"8","Water Quality Parameters and Testing Training for EDO of Mathurata DSD (Common for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2)","2","1","52","154,180","7,500","146,680","NWSDB/NRMC"
"9","Forest Fire Prevention and Control Training for Selected officers of Forest Department in Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"10","Use of RS and GIS in Watershed management for selected Officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"11","Forest Restoration training for selected officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"12","Integrated Watershed Management training for selected Officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"13","Domestication and use of wild species for watershed management for selected officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"14","Awareness for Teachers on Environmental Conservation and Social Responsibility: Protecting the Environment- For Teachers (Mathurata DSD)","Budget was allocated under MWS-002-2 (Hanguranketha)","DOA/ NRMC/ University",,,,,
"15","Training EDOs and SDO to conduct cascading training on Financial Literacy and Household Money Management (ToT)","4","1","104","144,960","10,000","134,960","CBSL Matale Regional office/CBSL HO"
"Training for Communities",,,,,,,,
"16","Exposure Visits to “A Park” for GPC, MDMWMC Members and Farmer Leaders Selected by ARPA. One visit/GND","2","1","100","146,200","-","146,200","Agriculture Park DoA"
"17","Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND","2","1","100","134,400","-","134,400","NRMC/DOA"
"18","Good Practices in Agrochemicals and fertilizer application and Integrated Pest Management for GPC Community Members and Identified Farmers -One training/GND","2","1","100","132,300","-","132,300","DOA"
"19","Important of Home Garden Improvement for watershed Management (Common for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2)","4","1","407","421,600","10,000","411,600","Forest Department"
"20","Field Day for Soil and Water Conservation Practice and Method for GPC community leaders and Farmers","2","1","100","74,000","-","74,000","AI, AR&PA and EDO/NRMC"
"21","Field Day for Best Practices of Usage of Pesticide, Integrated Pest Control and Fertilizer Application for GPC community members and identified farmers. One training/GND","2","1","100","74,000","-","74,000","AI, AR&PA and EDO"
"22","Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD","2","1","100","132,400","-","132,400","DOA/NRMC"
"23","Awareness on Green Skill and Green Technology Concept for Youth and GPC members","2","1","80","148,600","5,000","143,600","DOA"
"24","Climate Change Adaptation Awareness for GPC and selected farmers","2","1","100","118,000","-","118,000","AI,EDO"
"25","Conduct Field Day on Climatic Change Adaptation","2","1","100","70,000","-","70,000","AI & EDO"
"26","Awareness on Forest Fire Prevention and Control GPC and community members","2","1","100","162,400",,"162,400","Forest Department"
"27","Responsible use of water resources for GPC/GWMC and community members","2","1","100","162,400",,"162,400","Forest Department"
"28","Awareness on Important of environment conservation and social responsibility of community- For Student (Grade 11 and Above at Mathurata DSD)","26","1-2 Hours","1,300","Budget is not required","Trained Teachers",,
"29","Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members on Women Development Organization (WDOs)","2","1","100","92,400",,"92,400","EDOs &SDO"
"30","Conduct Refresher Training on Household Money Management for GPC and Community Members","2","1","100","64,200",,"64,200","EDO and SDO"
"31","Career Guidance & Career Fair Event (Mathurata DSD)","1","1","200","148,500","2,500","146,000","Skills Development Officer & Human Resources Development Assistant of DSD"
"32","Awareness on Gender and Social Inclusion Training","1","1","28","48,820","2,500","46,320","TBD"
"33","Community Training - livelihood and Marketing",,,,"349,000",,"349,000",
,"Total Estimated budget",,,,"5,364,657","534,400","4,830,257",
