Type , Items Needed , GNDs Requested ,Number, Unit Cost (Rs.) , Total Cost (Rs.) , Contribution (%) from line agency/ GoSL , Final cost to LA/ GoSL (Rs.) 
 Paddy , Tray , Elamulla-300 ,300,80,"24,000.00",0.5,"12,000.00"
 Vegetable  , Capsicum ," Deegalahinna-5, Elamulla-10 ",15," 40/perches unit - 20g. 3,000.00 ","45,000.00",1,"45,000.00"
, Cabbage ," Deegalahinna-10, Elamulla-15 ",25," 40/perches unit - 20g. 6,000.00 ","180,000.00",1,"180,000.00"
, Beans , Deegalahinna10 Elamulla-20 ,30," 40/perches unit - 1500g. 4,500.00 ","135,000.00",1,"135,000.00"
, Tomato ," Deegalahinna-15, Elamulla-25 ",40," 40/perches unit - 10g. 6,000.00 ","240,000.00",1,"240,000.00"
 Fruits , Banana ," Deegalahinna-50, Elamulla-50 ",100,120,"12,000.00",1,"12,000.00"
, Avocado ," Deegalahinna-20, Elamulla-30 ",50,200,"10,000.00",1,"10,000.00"
, Mango ," Deegalahinna-25, Elamulla-50 ",75,300,"22,500.00",1,"22,500.00"
 Export Crops , Coffee ," Deegalahinna-150, Elamulla-250 ",400,30,"12,000.00",1,"12,000.00"
, Pepper ," Deegalahinna-200, Elamulla-400 ",600,40,"24,000.00",1,"24,000.00"
, Vanilla ," Deegalahinna-300, Elamulla-500 ",800,40,"32,000.00",1,"32,000.00"
 Livestock , No of cow ," Deegalahinna- 2, Elamulla- 5 ",7,"250,000.00","1,750,000.00",0.5,"875,000.00"
, No of chicks ," Deegalahinna- 16, Elamulla- 100 ",116,"1,500.00","174,000.00",0.5,"87,000.00"
, No of sheds - cow ,  Elamulla- 4 ,4,"300,000.00","1,200,000.00",0.5,"600,000.00"
 Protected Agriculture , Polytunnel ,            Deegalahinna-2 ,2,"700,000.00","1,400,000.00",0.5,"700,000.00"
 Total Cost ,,,,,"5,260,500.00",,"2,986,500.00"
