"Table 5.12: Total Cost Estimate for Stream Reservation Proposals","","","","","",""
"GND No","Name of the Torrent  Stream  Canal","Location N","Location E","Current status","Description","Amount  LKR"
"512 I","Torrent flow across the Samurdhi road","7.038076","80.783912","Soil erosion of lands on both sides.","Construction of leader drain across streams -1m(W)x1m(H)","313,300"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 I","Hunukotuwa main torrent","7.03968","80.785044","Soil erosion of lands on both sides.","Construction of leader drain across streams -1m(W)x1m(H)","374,400"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 H","Rankevita Bokka torrent","7.035936","80.794726","Soil erosion of lands on both sides.","Construction of leader drain across streams -1m(W)x1m(H)","871,000"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 H","Belihul Oya","7.033271","80.786646","Soil erosion of lands on both sides.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","693,420"
,,,,,"Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H)",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedling sand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
"512 B","No. 9 torrent","7.033593","80.782668","Soil erosion.","Construction of leader drain across streams -1m(W)x1m(H)","504,400"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 B","No. 5 torrent 2","7.031954","80.786587","Soil erosion.","Construction of leader drain across streams -1m(W)x1m(H)","568,620"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H)",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedling sand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
"512 B","No. 8 torrent 3","7.03105","80.788171","Bank erosion.","Construction of leader drain across streams -1m(W)x1m(H)","508,820"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H)",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedling sand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
"512 B","No. 5 torrent 4","7.029019","80.788357","Soil erosion of lands on both sides.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","183,300"
"512 B","Belihul Oya","7.02942","80.780031","Soil erosion of lands on both sides.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","366,600"
"512 G","Torrent","7.043398","80.781033","Soil erosion. The torrent is connecting to the irrigation canal.","Construction of leader drain across streams -1m(W)x1m(H)","496,600"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 G","Hunukotuwa Medawela torrent","7.043375","80.781377","Soil erosion.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","488,800"
"512 D","Belihul Oya","7.041343","80.778317","Soil erosion of lands on both sides.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","366,600"
"512 G","Medawela torrent","7.046048","80.781796","Soil erosion.","Construction of leader drain across streams -1m(W)x1m(H)","786,500"
,,,,,"Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance",
"512 G","Belihul Oya","7.050661","80.777194","Soil erosion of lands on both sides.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","1,289,340"
,,,,,"Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H)",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedling sand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
"512 G","Torrent at Attana Bedda road","7.046457","80.779932","Soil erosion of lands on both sides. Flooding onto the road.","Construction of leader drain across streams -1m(W)x1m(H)","382,200"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"Total","8,193,900",,,,,
