"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-016","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","512 I","Hunukotuwa","1. Soil conservation practices - Hunukotuwa (65°)","4","7.037962","80.784234","0.6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","150,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Hunukotuwa Upper Division (65°)","1","7.03789","80.784198","4.4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,100,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Hunukotuwa No. 1 Janapadaya (70°)","5","7.035205","80.778912","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","3,750,000",,,,,,,,,,,
"2","512 H","Malsara Nuwara","1. Soil conservation practices - Malsara Nuwara (65°)","5","7.035877","80.787664","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Malsara Nuwara  (70°)","5","7.034554","80.792417","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Rankevita Bokka  (70°)","5","7.034492","80.79321","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Rankevita Bokka  (70°)","1","7.035905","80.794326","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","6,500,000",,,,,,,,,,,
"3","512 B","Mandaram Nuwara","1. Soil conservation practices - No. 5 (80°)","5","7.031442","80.787209","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - No. 10 (75°)","5","7.031444","80.780998","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1 Year"
"Sub Total","6,000,000",,,,,,,,,,,
"4","512 G","Medawela","1. Soil conservation practices - Watagommana (70°)","5","7.045057","80.782955","14 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Watagommana (80°)","5","7.044963","80.783563","30 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","7,500,000","Labour and other basic services by the Local community","1.5 Years"
,,,"3. Soil conservation practices - Medawela Village (70°)","3","7.047697","80.780703","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Medawela Village (70°)","5","7.050196","80.779951","2.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","700,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Medawela Village (75°)","1","7.050049","80.779282","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices - Walasbedda (75°)","4","7.050614","80.777126","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","Labour and other basic services by the Local community","1 Year"
"Sub Total","17,700,000",,,,,,,,,,,
"5","512 D","Udawela","1. Soil conservation practices - Udawela (70°)","3","7.041044","80.77827","40 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","10,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"2. Soil conservation practices - Udawela (70°)","5","7.034526","80.780073","4.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,200,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","11,200,000",,,,,,,,,,,
,,,,,,,,"Grand Total",,"45,150,000",,
