"Table 5.3: Key OFF-FARM activities proposed for soil and water conservation in MWS-016","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,
"1","512 I","Hunukotuwa","1. Renovation of natural drains - Torrent flow across the Samurdhi road","3","7.038076","80.783912","150 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","15,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Hunukotuwa main torrent","4","7.03968","80.785044","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","35,000",,,,,,,,,,
"2","512 H","Malsara Nuwara","1. Renovation of natural drains - Rankevita Bokka torrent","5","7.035936","80.794726","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Beliul Oya","3","7.033271","80.786646","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Malsara Nuwara torrent","3","7.03329","80.786710","1.2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","120,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","250,000",,,,,,,,,,
"3","512 B","Mandaram Nuwara","1. Renovation of natural drains - No. 9 Torrent/Kandura","1","7.033593","80.782668","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - No. 5 torrent 2","5","7.031954","80.786587","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
