"Table 5.6: Cost estimate of minor irrigation-related proposals with locations","","","","","",""
"GND No","Name of the minor irrigation","Location N","Location E","Observed problems","Description","Amount  LKR"
"512 H","Field canal","7.035002","80.788197","•The canal is dilapidated. Bank erosion occurs.","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","982,833"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 B","Udawela canal","7.033317","80.782044","•Soil erosion of the lands.","Canals reservation protection by concrete lining for 125mm thick, 0.5m wide and 0.4m high canal -double banking","2,661,815"
,,,,,"Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 B","Neppu Kulama lake","7.033152","80.782165","•The lake is silted, and the surrounding is overgrowth.","Removing silt from canal bed depth up to 9\"-18\"","164,515"
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
,,,,,"Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of complots manure, NPK fertilizer and maintenance",
"512 B","Udawela canal","7.030256","80.780272","•Soil erosion of the lands.","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","940,648"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 G","Daraa canal","7.043791","80.78045","•The capacity of the canal is insufficient•Water overflows.•Leakages from canal.•Side walls are dilapidated.","Canals reservation protection by concrete lining for 125mm thick, 0.5m wide and 0.4m high canal -double banking","1,573,865"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 G","Medawela Maha Ela","7.050614","80.777126","•The capacity of the canal is insufficient.•The side wall of the canal is dilapidated at 4 points of field side.","Canals reservation protection by concrete lining for 125mm thick, 0.5m wide and 0.4m high canal -double banking","1,748,208"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Construction of 1:3:6 (1 1/2\") cut concrete retaining wall (height 0.9m, top width 0.15m, 0.45m high steps x 02, each of 0.15m step width & bottom width 0.45m)",
"512 D","Udawela Meda Ela","7.038392","80.780119","•The canal is blocked due to the pipelines.•The side wall height is insufficient and causes overflow and flooding into croplands.","Remove blocked pipes from the canal",
,,,,,"Benching on Tank Bund slopes to receive new earth - to clear the debris and to reopen the canal","104,000"
,,,,,"Trimming and forming",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 D","Dakala Watta canal","7.41011","80.77827","•The canal is blocked due to the bank collapsing.•The capacity of the canal is insufficient.","Canals reservation protection by concrete lining for 125mm thick, 0.4m wide and 0.5m high canal -single banking","2,212,438"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 D","Udawela main canal","7.03507","80.781551","•The canal overflows and floods nearby lands during rainy days due to the high-water flow from the above lands.","Canals reservation protection by concrete lining for 125mm thick, 0.5m wide and 0.4m high canal -double banking","1,514,208"
