No.,GND No.,GN Division,Land Slides,N or X,E or Y,NBRO Recommen-dation,Proposed Measures
1,512 I,Hunukotuwa,No special issues reported,,,,
2,512 H,Malsara Nuwara,No special issues reported,,,,
3,512 B,Mandaram Nuwara,1. Sliding the road in No. 5 ,7.033415,80.783843,Needs NBRO concern,"Establishing a side/retaining wall (L - 50 m, W - 0.5 m, H - 3.6 m)"
4,512 B,Mandaram Nuwara,2. Landsliding - No. 5,7.031821,80.78702,Needs NBRO concern,"Establishing two side/retaining walls (upper lands and behind the house) (L - 6 m, W - 0.5 m, H - 3 m)"
5,512 B,Mandaram Nuwara,3. Boulders falling - No.10 Mountain,7.029186,80.787959,Needs NBRO concern,Establishing side/retaining walls in upper parts of the mountain and introduction of perennial crops.
6,512 B,Mandaram Nuwara,4. Soil erosion/ sloughing - The road to the waterfall,7.031858,80.781345,Needs NBRO concern,"Establishing a side/retaining wall (L - 20 m, W - 0.5 m, H - 3 m)"
7,512 G,Medawela,1. Bank collapsing,7.049678,80.77819,Needs NBRO concern,"Establishing a side/retaining wall (L - 1.5 m, W - 0.5 m, H - 4.5 m)"
8,512 G,Medawela,2. Road sinking,7.042943,80.78058,Needs NBRO concern,"Establishing a side/retaining wall (L - 200 m, W - 0.5 m, H - 1.5 m)"
9,512 G,Medawela,3. Road damaged due to erosion,7.045142,80.782673,Needs NBRO concern,"Establishing a side/retaining wall (L - 50 m, W - 0.5 m, H - 1.2 m)"
10,512 G,Medawela,4. Bank collapsing of the road into the torrent.,7.044228,80.783775,Needs NBRO concern,"Establishing a side/retaining wall (L- 25 m, W - 0.5 m, H - 1.2 m)"
11,512 G,Medawela,5. The house and other building etc. sinking,7.046048,80.781796,Needs NBRO concern,"Establishing a side/retaining wall (L - 9 m, W - 0.5 m, H - 6 m)"
12,512 G,Medawela,6. Soil collapsing/sloughing,7.046761,80.779826,Needs NBRO concern,"Establishing a side/retaining wall (L - 6 m, W - 0.5 m, H - 4.5 m)"
13,512 G,Medawela,7. Soil collapsing and eroding into the canals below,7.046822,80.779904,Needs NBRO concern,"Establishing a retaining wall, two tier bio rows need to be constructed, and fruit crops or medicinal plants need to be planted. OR A reservation needs to be established."
5,512 D,Udawela,No special issues reported,,,,
