Activity,Location,Number of Units,Unit Cost (LKR),Cost (LKR),Duration
Conduct awareness programmes,"Mandaram Nuwara, Udawela, Medawela, Hunukotuwa",8,"20,000","160,000",2025 and 2029
Establish forest protection action groups,"Mandaram Nuwara, Udawela, Medawela, Hunukotuwa",4,"25,000","100,000",2025
Maintain forest boundaries,Piduruthalagala conservation forest ,13.5 Km/ 540 Boundary Posts,220,"237,600",2025 and 2028
Erect display boards,"Mandaram Nuwara, Udawela, Medawela Hunukotuwa",8,"20,000","120,000",2025
Distribute energy efficient stows,"Mandaram Nuwara, Udawela, Medawela 
Hunukotuwa",200 units,500,"100,000",2025
Home garden Development ,"Mandaram Nuwara, Udawela, Medawela",120 Units,2000,"240,000",2026
,Kolapathana Ella,13.5 ha,"300,000","4,050,000",2026-2031
Forest restoration,Nellangala reservation,40 ha,"300,000","12,000,000",2026 -2031
,Kolapathana reservation,10 ha,"300,000","3,000,000",2025 - 2030
,Medawela forest,5 ha,"300,000","1,500,000",2027- 2032
Establish pilot scale cultivation Cardamom plots,Mandaram Nuwara,"1 ha
(0.5ha x2)","100,000","100,000",2026
Fires belt with Hana,Rankevita Bokka grassland,1.5 Km,"200,000","300,000",2025
Maintenance of Live fence,Rankevita Bokka grassland,"1.5 Km
(% times)","90,000","675,000",2026-2030
Restoration of reservation (Introduce Enasal cultivation),Rankevita Bokka reservation,20 ha ,"100,000","2,000,000",2026-2030
Total,,,,"24,582,600",
