Type,Items Needed,GNDs Requested,Number,Unit Cost (Rs.),Total Cost (Rs.),Contribution (%) from line agency/ GoSL,Final cost to LA/ GoSL (Rs.)
 Paddy ,Tray ,Udawela1- 1200 ,"1,200",80,"96,000.00",0.5,"48,000.00"
,Electric fence ,Udawela1- 7 ,7,"36,000.00","252,000.00",0.5,"126,000.00"
 Vegetable ,Capsicum ,"Malsara Nuwara- 10, Udawela1 - 12, Medawela- 13 ",35," 40/perches’ unit - 20g. 3,000.00 ","105,000.00",1,"105,000.00"
,Cabbage ,"Malsara Nuwara- 5, Udawela1 - 10, Medawela- 8 ",23," 40/perches unit - 20g. 6,000.00 ","138,000.00",1,"138,000.00"
,Green chili ,"Malsara Nuwara- 6, Udawela1 - 6, Medawela-7 ",19," 40/perches unit - 50g. 1,500.00 ","28,500.00",1,"28,500.00"
,Beans ,"Malsara Nuwara- 5, Udawela1 - 7, Medawela- 10 ",22," 40/perches unit - 1500g. 4,500.00 ","99,000.00",1,"99,000.00"
,Tomato ,"Malsara Nuwara- 10, Udawela1 - 7, Medawela- 10 ",27," 40/perches unit - 10g. 6,000.00 ","162,000.00",1,"162,000.00"
 Fruits ,Avocado ,"Malsara Nuwara- 80, Udawela1 - 60, Medawela- 50 ",190,200,"38,000.00",1,"38,000.00"
,Mango ,"Malsara Nuwara- 40, Udawela1 - 50, Medawela- 70 ",160,300,"48,000.00",1,"48,000.00"
 Export Crops ,Coffee ,"Malsara Nuwara- 200, Udawela1 - 250, Medawela- 370 Hunukotuwa 200 ","1,020",30,"30,600.00",1,"30,600.00"
,Pepper ,"Malsara Nuwara- 200, Udawela1 - 350, Medawela- 250 Hunukotuwa 300 ","1,100",40,"44,000.00",1,"44,000.00"
,Areca nut ,"Malsara Nuwara- 150, Udawela1 - 200, Medawela- 270 Hunukotuwa 100 ",720,130,"93,600.00",1,"93,600.00"
,Ginger ,"Malsara Nuwara- 100, Udawela1 - 50, Medawela- 70 Hunukotuwa 100 ",320,18,"5,760.00",1,"5,760.00"
 Livestock ,No of cow ," Udawela1 - 5, Medawela- 1 ",6,"250,000.00","1,500,000.00",0.5,"750,000.00"
,No of chicks ,"Malsara Nuwara- 100, Hunukotuwa- 100, Udawela 1-20 ",220,"1,500.00","330,000.00",0.5,"165,000.00"
,No of sheds - cow ,"Udawela1 - 3, Malsara Nuwara- 5 ",8,"300,000.00","2,400,000.00",0.5,"1,200,000.00"
 Protected Agriculture , Polytunnel ,"Malsara Nuwara-2, Medawela- 1 ",3,"700,000.00","2,100,000.00",0.5,"1,050,000.00"
 Value added products ,Bee keeping (Box 4000/= bees) ,Malsara Nuwara- 15 ,15,"8,000.00","120,000.00",0.75,"90,000.00"
,Black Pepper making machines (Balancing kit) ,"Malsara Nuwara-5, Hunukotuwa- 2, Udawela 1-3 ",10,"10,000.00","100,000.00",0.5,"50,000.00"
,Curry powder grinding , Malsara Nuwara- 1 ,1,"120,000.00","120,000.00",0.5,"60,000.00"
 Total Cost ,,,,,"7,810,460.00",,"4,331,460.00"
