"Table 5.16: Details related to water pollution in MWS-017 belongs to Mathurata DS Division","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates","Point sources of pollution","Coordinates 1","Recommended water quality improvement measures","Unit Cost  Rs","Total Cost  Rs","Contributions  Local Community  LA  Project","Time frame for the implementation","NA","NA  1"
,,,,"N or X","E or Y",,"N or X","E or Y",,,,,
"1","508 D","Ampitigoda","No special issues reported",,,,,,,,,,
"2","508 E","Bomellagoda","No special issues reported",,,,,,,,,,
"3","508 A","Dunukebedda","No special issues reported",,,,,,,,,,
"4","508 B","Gonakele","Addition of household wastes/garbage - Oluwawatta","7.057816","80.821339",,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,"Awareness program on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,"Facilitating garbage collection",,,,
"5","508 F","Gonapitiya","Improper disposal of domestic waste of line houses in estate and mixing with the springs and stream located below - Gonapitiya Watta estate","7.05167","80.79809",,,,"Awareness program on how to disposal household waste properly and converting them to usable products such as compost",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,"Introduce waste collecting methods and converting them into productive output with the mediation of Local Governments.",,,,
"6","512 C","Goodwood","No special issues reported",,,,,,,,,,
"7","508","Ketayapathana","Discarding domestic waste to torrent - Maussawa torrent","7.071182","80.805247",,,,"Awareness program on how to dispose of household waste properly and converting them to usable products such as compost",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,"Introduce waste collecting methods and converting them into productive output with the mediation of Local Governments.",,,,
"8","512 E","Labuhenwala","No special issues reported",,,,,,,,,,
"9","509","Mathurata","No special issues reported",,,,,,,,,,
"10","509 A","Merrygoll","No special issues reported",,,,,,,,,,
"11","512 A","Metibembiya","No special issues reported",,,,,,,,,,
"12","508 C","Ketayapathana Udagama","Discarding domestic waste to torrent - Torrent near the Upali Stores","7.070337","80.805148",,,,"Awareness program on how to disposal household waste properly and converting them to usable products such as compost",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,"Introduce waste collecting methods and converting them into productive output with the mediation of Local Governments.",,,,
"13","512","Wellagiriya","No special issues reported",,,,,,,,,,
"14","512 F","Wewathenna","No special issues reported",,,,,,,,,,
"Grand Total","200,000",,,,,,,,,,,,
