"Table 5.36: Three year plan MWS-017","","","","","","",""
"X","GN Division","Extent  ha","NA","NA  1","NA  2","NA  3","NA  4"
,,"2025","2026","2027",,,
,,"RP","DP","RP","DP","RP","DP"
"508 D","Ampitigoda","2","2","1","2","1","2"
"508 E","Bomellgoda","1","2","1","1.5","1","2"
"508 A","Dunukebedda","1.5","2.5","1","2","1","2"
"508 B","Gonakele","1","1.5","1","2","1","1.5"
"508 F","Gonapitiya","1","2","1","2","0.5","1"
"512 C","Goodwood","2","2.5","1.5","2","1","2"
"508","Ketayapathana","1","2","1.5","2","0.5","1"
"512 E","Labuhenwala","1.5","2","1","1.5","1","1"
"509","Mathurata","1","2","1","1.5","0.5","1"
"509 A","Merrygoll","1.5","2","1","2","1","1.5"
"512 A","Metibembiya","1","2","1","1.5","1","1"
"508 C","Udagama","1","1.5","1","1","0.5","1"
"512","Wellagiriya","1","1.5","1","1","1","1"
"512 F","Wewathenna 1","1.5","2","1","1.5","0.5","1"
,"Total","18","27.5","15","23.5","11.5","19"
