"Table 5.6: Details Salient features of minor tanks in MWS-017","","",""
"Tank Name","Wellagiri Wewa","No 5 Wewa","Maha Wewa"
"GN","Goodwood","Merigold","Bomellagoda"
"MWS","MWS-017","MWS-017","MWS-017"
"DS","Mathurata","Mathurata","Mathurata"
"District","Nuwara Eliya","Nuwara Eliya","Nuwara Eliya"
"Custodianship","DAD","DAD","DAD"
"Year of Construction",,,"1960-65"
"Location (Lat)","7.05151","7.0656","7.06741"
"Location (Lon)","80.78579","80.8187","80.79766"
"Hydrological zone",,,
"Water Surface Area (approx.) (ha)","0.02","0.04","0.25"
"Catchment Area (gross) (km2)",,,
"Catchment Area (net) (km2)",,,
"Total command area (ha)",,,"142"
"Farmer Organization",,,
"F.O. registration number",,,
"Reservations are available or not",,,
"Reservations are marked or not",,,
"Bund","Rubble",,"Earth"
"Bund Length (m)","35","25","120"
"Top width (m)","0.5","1.5","3"
"Visible bund height (m)","3.5","3","6"
"US & DS slopes (h/b)",,"1 on 2","1 on 2"
"Availability of rip rap",,,
"Spillway",,,
"Station (km+m)","0+018","0+010","0+045"
"Type","CO","CO","CO"
"Length (m)",,"1m","1.5*2"
"Observed Afflux (m)",,"0.3","0.6"
"Duration of spilling (days)",,"Perennial","60 days"
"Sluices",,,
"No of Sluices (nos)",,"1","2"
"Station/s (km+m)",,"0+010",
"Type/s",,"HW","HW
HW"
"Barrel size/s (mm)",,"225","300
225"
"command area of the sluice (ha)",,,
"Rectification Details","Minor repair to the bund, Tree planting (1/2AC)(Kumbuk,Mee) ,Desilting (10 perch),Test the water quality, Bund rehabilitation L 40ft, H 3ft, W 15ft)","Desilting the tank (15pearch),Bund-Curtain wall, Make a side bund (50m/6ft/2ft),Reserve 1/4AC for a forestry ,Connect the nearby stream to the tank","Repair the Passeral,Repair the right bank sluice gate and others, Extend the bund RB-5m,Tree planting,6m W * 80m L"
