"Table 5.8: Estimate for rehabilitation of No 5 Wewa in Merigold GND (509A)","","",""
"Item","Work Description","Location","Amount  LKR"
"1","Desilting by PC 20 or 30 Excavator in a loose soil without pontoon cutting depth 300mm","Tank","35,236"
"2","Constructing a curtain wall along the embankment toe",,
"2.1","Earth excavation in foundation (Ordinary soil)","Bund","11,971"
"2.2","Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 0.9m, top width 0.15m, 0.45m high steps x 02, each of 0.15m step width & bottom width 0.45m)","Bund","270,000"
"3","Construct a feeder canal from nearby stream BW 0.5m, depth 1.0m, SS 1:1.5, Length 100m",,
"3.1","Cutting trench/ canal by Excavator (120) and disposing earth beside","Feeder canal","167,040"
"3.2","Construction of 4.0m long x 0.9m height anicut with 02 nos x 0.9m width openings, supplying of 3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangements","Feeder canal","267,600"
"4","Constructing a side bund of 50.0m long, top width 0.6m, height 1.8m, SS 1:1",,
"4.1","Stripping topsoil to depth up to 150mm","Side bund","10,260"
"4.2","Cutting trench/ canal by Excavator (120) and disposing earth beside 2m deep, SS 2:1, Bottom width 0.6m","Side bund","89,088"
"4.3","Earth excavation from borrow area by Backhoe and forming tank bund including transporting, placing (150-225)mm layers, watering, compacting and trimming as per instructions (haulage up to 01 km) Core trench Filling in CH material","Side bund","179,136"
"4.4","Earth excavation from borrow area by Backhoe and forming tank bund including transporting, placing (150-225)mm layers, watering, compacting and trimming as per instructions (haulage up to 01 km)","Side bund","241,834"
"4.5","Turfing to new earth including cutting, laying, pegging and watering","Side bund","31,650"
,"Contingencies (10%)","130,381",
,"Total","1,434,196",
