No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (LKR),Sum of Costs (LKR),"Contribution (Local Community, LA, and the project)",Time frame for the implementation
1,508 D,Ampitigoda,1. Soil conservation practices - Ampitigoda (85°),5,On,7.070117,80.793198,8 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"2,000,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
2,508 D,Ampitigoda,2. Soil conservation practices - Ampitigoda (80°),5,On,7.069952,80.793095,4.8 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"1,200,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
3,508 D,Ampitigoda,3. Soil conservation practices - Wellagiriya (80°),5,On,7.070439,80.793133,1.2 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"300,000",,Labor and other basic services by the Local community/ Shramadana,0.25 Years
4,508 D,Ampitigoda,4. Soil conservation practices - Ampitigoda (80°),5,On,7.070982,80.793539,5.6 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"1,400,000",,Labor and other basic services by the Local community,0.5 Years
5,508 D,Ampitigoda,5. Soil conservation practices - Ampitigoda (70°),5,On,7.070907,80.79353,12 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"3,000,000",,Labor and other basic services by the Local community,0.5 Years
6,508 D,Ampitigoda,6. Soil conservation practices - Ampitigoda (80°),3,On,7.070767,80.795192,16 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"4,000,000",,Labor and other basic services by the Local community,0.5 Years
7,508 D,Ampitigoda,7. Soil conservation practices - Paddy Lands (70°),5,Off,7.073968,80.794958,10 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"2,500,000","14,400,000",Labor and other basic services by the Local community,0.5 Years
8,508 E,Bomellagoda,1. Renovation of natural drains - Torrent near Mahawewa,4,Off,7.070028,80.79516,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
9,508 E,Bomellagoda,2. Renovation of natural drains - Torrent flows from the lake,3,Off,7.06723,80.796924,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
10,508 E,Bomellagoda,3. Renovation of natural drains - The main feeder stream of the tank,5,Off,7.066747,80.797789,4 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"400,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
11,508 E,Bomellagoda,4. Renovation of natural drains - Sub canal of the main feeder stream of the tank,5,Off,7.066747,80.797789,150 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"15,000",,Labor and other basic services by the Local community/ Shramadana,0.25 Years
12,508 E,Bomellagoda,5. Soil conservation practices - Ampitigoda (65°),4,On,7.070277,80.795083,0.25 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"62,500",,Labor and other basic services by the Local community,0.25 Years
13,508 E,Bomellagoda,6. Soil conservation practices - Ampitigoda (60°),5,On,7.070119,80.795173,0.25 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"62,500",,Labor and other basic services by the Local community,0.25 Years
14,508 E,Bomellagoda,7. Soil conservation practices - Bomellagoda (50°),5,On,7.066747,80.797789,10 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"2,500,000",,Labor and other basic services by the Local community,0.5 Years
15,508 E,Bomellagoda,8. Soil conservation practices - Bomellagoda (50°),4,On,7.062552,80.800675,0.5,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"125,000","3,415,000",Labor and other basic services by the Local community,0.25 Years
16,508 A,Dunukebedda,No special issues are reported.,,,,,,,,,,,
17,508 B,Gonakele,1. Renovation of natural drains - Gonakele torrent,1,Off,7.060614,80.822391,100 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"10,000",,Labor and other basic services by the Local community/ Shramadana,0.25 Years
18,508 B,Gonakele,2. Renovation of natural drains - Oluwawatta torrent,5,Off,7.057369,80.821656,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"20,000",,Labor and other basic services by the Local community/ Shramadana,0.25 Years
19,508 B,Gonakele,3. Soil conservation practices - Gonakele (60°),5,On,7.060785,80.822117,4.8 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"1,200,000",,Labor and other basic services by the Local community,0.25 Years
20,508 B,Gonakele,4. Soil conservation practices - Alagollawatta (60°),1,On,7.056581,80.81124,20 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"5,000,000",,Labor and other basic services by the Local community,0.25 Years
21,508 B,Gonakele,5. Soil conservation practices - Alagollawatta (60°),4,On,7.061038,80.807827,54 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"13,500,000","19,730,000",Labor and other basic services by the Local community,1 Year
22,508 F,Gonapitiya,1. Soil conservation practices - Gonapitiya watta (50°),5,On,7.049334,80.794207,36 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"9,000,000",,Labor and other basic services by the Local community,1 Year
23,509 F,Gonapitiya,2. Soil conservation practices - Gonapitiya watta (70°),5,On,7.050267,80.794091,2 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"500,000","9,500,000",Labor and other basic services by the Local community,0.25 Years
24,512 C,Goodwood,1. Renovation of natural drains - Meda Kadura,5,Off,7.050363,80.789926,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"300,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
25,512 C,Goodwood,2. Renovation of natural drains - Small Kandura coming from Goodwood Bungalow,5,Off,7.052011,80.787596,3.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"350,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
26,512 C,Goodwood,3. Renovation of natural drains - Kandura coming from Goodwood Bungalow,5,Off,7.053582,80.789273,100 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"10,000",,Labor and other basic services by the Local community/ Shramadana,0.25 Years
27,512 C,Goodwood,4. Renovation of natural drains - The torrent on the way to the lake,5,Off,7.051534,80.785158,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000",,Labor and other basic services by the Local community/ Shramadana,0.25 Years
28,512 C,Goodwood,5. Soil conservation practices - Goodwood middle part (65°),5,On,7.05027,80.789839,44 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"11,000,000",,Labor and other basic services by the Local community,1.5 Years
29,512 C,Goodwood,6. Soil conservation practices - Goodwood Pinus area (3km above from this point) (70°),5,On,7.05027,80.789839,8 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"2,000,000",,Labor and other basic services by the Local community,0.5 Years
30,512 C,Goodwood,7. Soil conservation practices - Goodwood (70°),4,On,7.051591,80.789964,70 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"17,500,000",,Labor and other basic services by the Local community,1.5 Years
31,512 C,Goodwood,8. Soil conservation practices - Goodwood (80°),5,On,7.053282,80.790024,1.25 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"312,500",,Labor and other basic services by the Local community,0.5 Years
32,512 C,Goodwood,9. Soil conservation practices - Goodwood (50°),1,On,7.05299,80.787941,0.5 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"125,000",,Labor and other basic services by the Local community,0.25 Years
