No,GND No.,Name of the minor irrigation,Location N,Location E,Observed problems,Description,Amount
1,508 D,Makule canal,7.074829,80.799249,?ater overflows from the canal and the capacity of the canal is insufficient.,"Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","893,688"
2,508 D,Diya Molliya canal,7.076044,80.793127,?rosion of part of the canal. (L- 20m),"Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 0.9m, top width 0.15m, 0.45m high steps x 02, each of 0.15m step width & bottom width 0.45m)
Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance","185,400"
3,508 D,Diyamulla canal,7.071026,80.793355,?eepages towards the field side. (L- 10m),"Canals reservation protection by concrete lining For 125mm thick , 0.4m wide and 0.5m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","71,327"
4,508 D,Vishara Kumbura canal,7.073834,80.795405,?eepages towards the field side and erosion of the field side.,"Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 1.2m, top width 0.15m, 0.60m high steps x 02, each of 0.15m step width & bottom width 0.45m)
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance","62,090"
5,508 D,Katukithula Vishara Kumbura canal,7.074048,80.794832,?rosion of the canal.,"Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
2.5m long canal over crossing with 0.30m Dia RCC Hume Pipes (for canal bed elevated 0.6m from the stream bed)
Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","1,635,012"
6,508 D,Walabode canal,_,_,?eepages towards the field side. (L- 1km),"Canals reservation protection by concrete lining For 125mm thick, 0.4m wide and 0.5m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","1,172,150"
7,508 D,Hinatiwela canal,7.0767932,80.794812,?ater cannot be distributed properly due to canal erosion at field side.,"Canals reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","847,800"
8,508 D,Palle Pihilla canal,_,_,?eepages towards the field side and the capacity of the canal is insufficient.,"Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","1,348,325"
9,508 D,Thenne Amuna Palle Pihilla canal,7.07794,80.795859,?ank erosion of the canal. (L- 20m),"Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","1,225,813"
10,508 D,Palle Pihilla Pahala canal,7.07778,80.796022,?rosion of the canal.,"Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","59,172"
11,508 D,Palle Pihilla canal,7.077321,80.796022,?eepages towards the field side.,"Canal reservation protection by concrete lining For 100mm thick, 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","810,037"
12,508 E,Alakola Wewa,7.066876,80.797782,"?he allocated reservation is insufficient for the lake.
?he lake is silted.","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance
Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance","669,000"
13,508 E,Baidampitiya canal,7.067528,80.797583,?rosion of the nearby lands due to the canal. (L- 2km),"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","1,387,750"
14,508 A,Hapuarawa canal,7.072287,80.798842,?ater cannot be distributed properly. (L- 1km),"Canal reservation protection by concrete lining For 100mm thick , 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","203,837"
15,508 A,Piyerapana canal,7.071849,80.798939,?eepages towards the field side. (L- 1km),"Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","1,197,412"
16,508 A,Amunumulla canal,7.070782,80.799442,?istribute water to the other canals by blocking this canal (1km),"Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","1,330,385"
17,508 A,Damunu Arawa canal,7.072493,80.799994,?eepages towards the field side.,"Construction of curtain wall (0.075mm thk) with 1:2:4 (3/4"") concrete, 1/2"" dowels at 600mm x 600mm intervals and embedded with chicken mesh
1/2"" thk 1:3 cement motar plastering to prevent leakages in lining
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","215,156"
18,508 A,Deniye Kumbura canal,7.073637,80.8003371,?ater overflows towards field side. ????? ??? ?????,"Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","257,837"
19,508 B,Oluwawatta canal,7.05735,80.821672,"?ater overflows from the canal and flooding into the houses. Additionally, seepages from the canal.","Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","607,450"
20,512 C,Paththakara Meda canal,7.052718,80.789956,?istribute water through a pipeline. (L- 200m),"Laying and joining 12"" dia - 24"" dia Concrete pipes
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 0.9m, top width 0.15m, 0.45m high steps x 02, each of 0.15m step width & bottom width 0.45m)
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","252,175"
21,512 C,Bangala Kadura field canal,7.05305,80.788615,?eepages towards the field side. (L- 500m),"Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","1,420,275"
22,512 C,Wellagiri Colony lake,7.051512,80.785791,"?bsence of a reservation.
?he lake is silted.
?ater is contaminated.
?eepages from the tank bund.","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","76,900"
23,512 C,Field canal of Wellagiri lake,7.051922,80.785901,?ater cannot distributed properly. (L- 210m),"Construction of leader drain across streams -1m(W)x1m(H)
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","424,550"
24,508,Godaliyadda canal,7.070992,80.806868,?eepages towards the field side.,"Construction of curtain wall (0.075mm thk) with 1:2:4 (3/4"") concrete, 1/2"" dowels at 600mm x 600mm intervals and embedded with chicken mesh
1/2"" thk 1:3 cement motar plastering to prevent leakages in lining
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","523,290"
25,508,Yakkawane anicut,7.070177,80.807555,?he anicut is a temporary anicut.,"Demolishing existing structure
Construction of 4.0m long x 0.9m height anicut with 02 nos x 0.9m width openings, supplying of 3"" thick CL I timber planks for each opening, supplying and fixing of 9"" Dia CI gate inclusive of all arrangements (As in MWS 011/Anicuts/57)","225,000"
26,508,Yakkawane canal,7.070177,80.807555,?ater cannot be distributed properly.,"Canal reservation protection by concrete lining For 100mm thick , 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","677,688"
27,512 E,Aloka Bedda ???? ????? ??? ??? ??? ??? ??,7.057468,80.77798,?eepages towards the field side.,"Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","378,012"
28,512 E,Mahawela sub field canal,7.057775,80.778037,?he capacity of the canal is insufficient.,"Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","378,012"
29,512 E,??????? ??? ??,7.05854,80.771538,?eepages from the canal and the capacity of the canal is insufficient.,"Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","234,894"
30,512 E,Wahala Wela middle canal,7.059424,80.778649,?he capacity of the canal is insufficient.,"Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","939,575"
31,512 E,Wahala Wela Unagahathenna canal,_,_,?eepages from the canal and bank erosion.,"Canals reservation protection by concrete lining For 125mm thick , 0.5m wide and 0.4m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","1,531,875"
