"Table 2.5: GN-wise demographic details of the MWS-018-1","","","","",""
"GND No","GND Name","No  of Houses","No  of Families","Female","Male"
"511A","Deegalahinna*","340","438","771","813"
"511D","Godigamuwa","0","425","848","859"
"510","Idampitiya","147","181","264","267"
"511F","Ketahira","149","170","298","262"
"511","Manakola","143","161","241","273"
"511B","Marthuwela","239","272","412","443"
"510B","Okandagala","0","0","0","0"
"511C","Rathyaya","61","64","111","105"
"510A","Uda Padiyapelella","0","212","332","310"
,"Total","1079","1923","3277","3332"
