"Table 2.6: Age group categorization of the population of MWS-018-1 (GN-wise)","","","","","","","","","","","","","",""
"GND No","GND Name","X0 4","X5 9","X10 14","X15 19","X20 24","X25 29","X30 34","X35 39","X40 44","X45 49","X50 54","X55 59","Above 60 years"
"511A","Deegalahinna","86","113","118","150","134","144","113","129","115","84","70","92","236"
"511D","Godigamuwa","99","158","136","134","164","136","138","131","105","89","83","111","223"
"510","Idampitiya","26","29","33","29","41","54","32","35","35","33","27","36","121"
"511F","Ketahira","20","35","48","45","50","49","35","44","48","34","46","41","65"
"511","Manakola","40","55","31","29","45","38","41","41","37","17","34","24","82"
"511B","Marthuwela","88","40","47","47","78","75","62","66","64","51","50","53","134"
"510B","Okandagala",,,,,,,,,,,,,
"511C","Rathyaya","10","28","21","9","15","19","19","19","11","8","11","12","34"
"510A","Uda Padiyapelella","33","48","44","43","52","57","40","48","46","36","42","34","119"
,"Total","402","506","478","486","579","572","480","513","461","352","363","403","1014"
