"Table 2.7: Occupational details of the community of MWS-018-1 (GN-wise)","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8"
,,"Government","Semi Government","Private","Self-Occupied","Estate worker","Agriculture","Laborer","Foreign employment","Other","Unemployed"
"511A","Deegalahinna*","35","5","205","0","100","600","0","4","0","10"
"511D","Godigamuwa","23","0","222","25","115","420","72","5","0","45"
"510","Idampitiya","87","5","51","30","0","39","8","0","0","165"
"511F","Ketahira","20","1","50","0","0","100","0","2","0","20"
"511","Manakola","30","0","40","40","0","6","6","4","0","0"
"511B","Marthuwela","23","0","175","6","0","380","0","3","0","350"
"510B","Okandagala","0","0","0","0","0","0","0","0","0","0"
"511C","Rathyaya","5","0","70","5","0","80","60","0","0","0"
"510A","Uda Padiyapelella","62","48","60","15","0","42","20","8","45","50"
,"Total","285","59","873","121","215","1667","166","26","45","640"
