"Table 5.12: Details related to water pollution in MWS-018-1 belong to the Mathurata DS Division","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates N or X E or Y","Point sources of pollution","Coordinates N or X E or Y 1","Recommended water quality improvement measures","Unit Cost  Rs","Total Cost  Rs","Contributions  Local Community  LA  Project","Time frame for the implementation","NA","NA  1"
"1","511 A","Deegalahinna","No special issues reported",,,,,,,,,,
"2","511 D","Godigamuwa","No special issues reported",,,,,,,,,,
"3","510","Idampitiya","No special issues reported",,,,,,,,,,
"4","511 F","Ketahira","No special issues reported",,,,,,,,,,
"5","511","Manakola","No special issues reported",,,,,,,,,,
"6","511 B","Marthuwela","No special issues reported",,,,,,,,,,
"7","511 C","Rathyaya",,,,,,,,,,,
"8","510 A","Uda Padiyapelella","Contamination of water in Beliul oya which is used by a large number of families with domestic waste and wastes from shops - Padiyapelella Town","7.092453","80.797973",,,,"Awareness program on how to disposal household waste properly and converting them to usable products such as compost",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,"Introduce waste collecting methods and converting them into productive output with the mediation of Local Governments.",,,,
"9","510 B","Okandagala","No special issues reported",,,,,,,,,,
"Grand Total","50,000.00",,,,,,,,,,,,
