"Table 5.14: Total Cost Estimate for Stream Reservation Proposals","","","","","",""
"GND No","Name of the Torrent  Stream  Canal","Location N","Location E","Current status","Description","Amount  LKR"
"511 A","Water Torrent 1","7.061496","80.767824","Bank erosion on both sides in rainy season","Construction of leader drain across streams - 1m(W) x 1 m(H)","130,000"
"511 A","Kalu Palama Ella","7.064181","80.767129","High bank erosion on both sides","Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching","1,041,300"
"511 A","Watte Kumbura Torrent","7.063279","80.764963","Bank erosion on both sides","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","45,825"
"511 D","Torrent 1 which the excess water remover in Motamola Canal","7.073062","80.769978","Bank erosion on both sides","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","611,000"
"511 D","Torrent 2 excess water remover in Motamola canal","7.072752","80.774322","Bank erosion on both sides","Construction of leader drain across streams - 1m(W) x 1 m(H)","1,950,000"
"511 D","Torrent 3","7.073068","80.77422","Bank erosion on both sides","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","1,887,488"
"511 D","Torrent near School","7.076159","80.783047","Bank erosion on both sides","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"(6\"- 9\") Rubble masonry wall in 1:5 cement mortar",
"510","Hapugahatenna","7.086119","80.791979","Bank erosion on both sides","Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching","1,041,300"
"510","Kammal Watta Torrent","7.085366","80.792775","Conserved using rubble masonry walls and Areca nut stripes","Construction of leader drain across streams - 1m(W) x 1 m(H)","1,040,000"
"510","Torrent 1","7.08432","80.792945","Bank erosion on both sides.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","213,850"
"510","Balumgoda Torrent","7.08064","80.790254","Bank erosion on both sides.","Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching","867,750"
"510","Ukgahabokka Torrent (Rathhinda)","7.078874","80.785502","Bank erosion on both sides.","Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching","867,750"
