"Table 5.3: Key OFF-FARM activities proposed for soil and water conservation in MWS-018-1","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,
"1","511 A","Deegalahinna","1. Renovation of natural drains - Water Torrent 1","5","7.061496","80.767824","4 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","400,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Kalu Palama Ella","5","7.064181","80.767129","6 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","600,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Watte Kumbura Torrent","3","7.063279","80.764963","5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","500,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","1,500,000",,,,,,,,,,
"2","511 D","Godigamuwa","1. Renovation of natural drains -  Torrent 1 which the excess water remover in Motamola canal","5","7.073062","80.769978","250 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","25,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains -  Torrent 2 excess water remover in Motamola canal","4","7.072752","80.774322","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Torrent 3","3","7.073068","80.77422","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Torrent near School","4","7.076159","80.783047","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Establishing a retaining wall - Both sides of the Manakola Godigamuwa road","5",,,"7.6 m x 3 m","Retaining Wall (Conctrete)","891,000","By the project","0.25 Years"
"Sub Total","1,316,000",,,,,,,,,,
"3","510","Idampitiya","1. Renovation of natural drains - Hapugahatenna Torrent","1","7.086119","80.791979","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Kammal Watta Torrent","3","7.085366","80.792775","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Torrent 1","4","7.08432","80.792945","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Balumgoda Torrent","4","7.08064","80.790254","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Renovation of natural drains - Ukgahabokka Torrent (Rathhinda)","5","7.078874","80.785502","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","600,000",,,,,,,,,,
"4","511 F","Ketahira","1. Renovation of natural drains - Waterfall near Kalu Palama (Deegal Oya)","5","7.064643","80.76484","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Torrent seperates Katahira Udagabbala gama","5","7.063622","80.768952","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","400,000",,,,,,,,,,
"5","511","Manakola","1. Renovation of natural drains - Hunuketa Torrent","5","7.078888","80.785354","2.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","250,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Kakunawatta seasonal canal","3","7.075574","80.786284","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Belihul Oya","3","7.075587","80.786483","500 m","Clearing and planting some trees along the banks and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Kakunawatta Torrent","5","7.07575","80.785067","400 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","40,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Establishing a Rubble masonry retainning wall - near Ketayapathana Udagama Road","3","7.077717","80.786292","20 m x 2 m","Retaining Wall (Masonary)","880,000","By the project","0.25 Years"
"Sub Total","1,320,000",,,,,,,,,,
"6","511 B","Marthuwela","1. Renovation of natural drains - Pita Ela","4","7.083659","80.788691","750 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","75,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","75,000",,,,,,,,,,
"7","511 C","Rathyaya","1. Renovation of natural drains - Pita ela in Ela Amuna Ela","4","7.080778","80.780894","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Renovation of natural drains - Rathhinda Torrent","4","7.080526","80.779695","1 km","Clearing and planting some trees along the banks and other conservation practices","100,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","150,000",,,,,,,,,,
"8","510 A","Uda Padiyapelella","1. Renovation of natural drains - Belihul Oya","1","7.092453","80.797973","2 km","Clearing and planting some trees along the banks and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Maha Torrent","45","7.0957117.095724","80.79786680.796044","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Alakola Bokkuwa Torrent","4","7.09195","80.796331","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","600,000",,,,,,,,,,
"9","510 B","Okandagala","No special issues are reported",,,,,,,,
,,,,,,,,"Grand Total","5,961,000",,
