"Table 5.32: Three year plan MWS-018-1","","","","","","",""
"X","GN Division","Extent  ha","NA","NA  1","NA  2","NA  3","NA  4"
,,"2025","2026","2027",,,
,,"RP","DP","RP","DP","RP","DP"
"511 A","Deegalahinna","1","1","1","2","1","2"
"511 D","Godigamuwa","1","2","1","1","1","1"
"510","Idampitiya","1.5","2","1","1.5","1","1"
"511 F","Ketehira","1","1.5","1","1","1","1"
"511","Manakola","1","1","0.5","1","0.5","2"
"511 B","Marthuwela","1","1.5","1.5","2","1","1"
"510 B","Okandagala","1","1","1.5","1","0.5","2"
"511 C","Rathyaya","1.5","2","1","1.5","1","1"
,"Total","9","12","8.5","11","7","11"
