"Table 5.39: Cost estimation of livelihood development activities","","","","","","",""
"Type","X Items Needed","X GNDs Requested","Number","Unit Cost  LKR","Total Cost  LKR","Contribution     from line agency  GoSL","Final cost to LA  GoSL  LKR"
"paddy yaya development program","Supply of parachute Trays",,"2,500","80","200,000","75%","150,000"
,"Supply of certified seed paddy (bu)",,"5","4200","21,000","100%","21,000"
,"Soil testing",,"10","290","2,900","100%","2,900"
,"Supply of Bio films (1 Liter) Bottles",,"10","900","9,000","100%","9,000"
,"supply of Cruiser as seed Treatments",,"5","900","4,500","100%","4,500"
"Supply of Agricultural Machineries and Equipment","Supply of Agri Fence",,"50","7500","375,000","75%","281,250"
,"Supply of Electric fence",,"20","40,000","800,000","75%","600,000"
,"Supply of Water Pumps (Robin)",,"5","70,000","350,000","75%","262,500"
,"Supply of Brush Cutters",,"5","30,000","150,000","75%","112,500"
,"Supply of Knapsac Sprayers (16L)",,"2","30,000","60,000","75%","45,000"
"Improvement of Cultivation practices of Bitter gourd","Soil testing",,"7","290","2,030","100%","2,030"
,"supply of Plant covers (0.8\"x200m",,"20","15000","300,000","100%","300,000"
,"supply of fruit covers",,"35","2400","84,000","100%","84,000"
,"Supply of Insect Proof nets (3mx50m)",,"21","30,000","630,000","75%","472,500"
,"supply of Cruiser as seed Treatments (5g Packs)",,"10","900","9,000","100%","9,000"
,"Supply of Bio films (500ml) bottles",,"20","1,250","25,000","100%","25,000"
,"Supply of Trichoderma (1-liter bottles)",,"10","1,000","10,000","100%","10,000"
,"Supply of Lakgrow neem 100ml bottles",,"20","1,000","20,000","100%","20,000"
"Improvement of Cultivation Practices of Chilli (10 Farmers with 1/4 ac)","Supply of chili hybrid seeds (MICH hy 1)",,"500g","130,000","65,000","100%","65,000"
,"Supply of Seedling trays with 72 holes",,"100","150","15,000","100%","15,000"
,"sprinkler irrigation system for 1/4 ac Demonstration",,"1","100,000","100,000","75%","75,000"
,"Supply of Poly mulch roles (1.2m*400m)",,"2","20,000","40,000","100%","40,000"
,"Supply of Trichoderma (1-liter bottles)",,"30","1,000","30,000","100%","30,000"
,"Supply of sticky Traps (blue and Yellow) 20 Pack of 6x8 inches",,"10","12,000","120,000","100%","120,000"
,"Supply of Insect Proof nets (3mx50m)",,"30","30,000","900,000","75%","675,000"
,"Supply of Lakgrow neem 100ml bottles",,"20","1,000","20,000","100%","20,000"
"Improvement of Cultivation Practices of Bean (10 Farmers with 1/4 ac)","Introduction of new Bean variety Kekulu / HoRDI Pokuru Supply Qualtiy Seeds) kg",,"50","2,500","125,000","100%","125,000"
,"supply of Cruiser as seed Treatments (5g Packs)",,"50","900","45,000","100%","45,000"
,"Supply of Rhizobium Inoculum 100g packs",,"50","400","20,000","100%","20,000"
,"Supply of Insect Proof nets (3mx50m)",,"12","30,000","360,000","75%","270,000"
,"Supply of Bio films (500ml) bottles",,"20","1,250","25,000","100%","25,000"
,"Supply of Trichoderma (1-liter bottles)",,"10","1,000","10,000","100%","10,000"
,"Supply of Lakgrow neem 100ml bottles",,"20","1,000","20,000","100%","20,000"
"Improvement of Cultivation practices of Cabbage (10 Farmers with 1/4 ac)","Soil testing",,"10","290","2,900","100%","2,900"
,"Supply of Quality seeds (Variety Volcano or Oxilus)",,"250g","250,000","62,500","100%","62,500"
,"Supply of Neem (400ml bottles)",,"20","750","15,000","100%","15,000"
"Export Crops","Coffee","Ketahira- 800,Godigamuwa- 600,Uda Padiyapelella- 600,Manakola- 500, Deegalahinna- 400","2,900","30","87,000","1","87,000"
,"Pepper","Ketahira- 400,Godigamuwa- 300,Uda Padiyapelella- 200,Manakola- 300, Deegalahinna- 400","1,600","40","64,000","1","64,000"
,"Ginger","Ketahira- 100,Godigamuwa- 30,Uda Padiyapelella- 70,Manakola- 80, Deegalahinna- 70","350","18","6,300","1","6,300"
"Livestock","No of cow","Marthuwela- 4, Rathyaya- 3, Godigamuwa-2","9","250,000","2,250,000","0.50","1,125,000"
,"No of chicks","Ketahira- 100,Godigamuwa- 30,Uda Padiyapelella- 70,Manakola- 60, Deegalahinna- 20","280","1,500","420,000","0.50","210,000"
,"No of sheds - cow","Rathyaya - 2,Ketahira- 2,Godigamuwa- 2","6","300,000","1,800,000","0.50","900,000"
,"No of sheds - goat",,,"150,000","-","0.50","-"
"Protected Agriculture","Polytunnel","Marthuwela- 3, Deegalahinna- 3, Rathyaya- 2","8","700,000","5,600,000","0.50","2,800,000"
"Value added products","Bee keeping (Box 4000/= bees)","Idampitiya- 5,Rathyaya -3,Ketahira-10","18","8,000","144,000","0.75","108,000"
,"Black Pepper making machines (Balancing kit)","Idampitiya- 4,Rathyaya -3,Ketahira-8","15","10,000","150,000","0.50","75,000"
,"White pepper production machines","Idampitiya- 1,Rathyaya -1,Ketahira-2","4","55,000","220,000","0.50","110,000"
,"Curry powder grinding","Ketahira- 2,Godigamuwa- 2,Uda Padiyapelella- 2,Manakola- 2","8","120,000","960,000","0.50","480,000"
"Total Cost",,,,,"16,729,130",,"10,011,880"
