"Table 5.4: Details of Reported landslides in MWS-018-1","","","","","","",""
"No","GN Division No","GN Division","Land Slides","Coordinates","NBRO Recommendation","Proposed Measures","NA"
,,,,"N or X","E or Y",,
"1","511 A","Deegalahinna","No special issues reported",,,,
"2","511 D","Godigamuwa","Upper bank erosion/Land erosion with the torrent - Both sides of the Manakola Godigamuwa road","7.076253","80.783167","Needs NBRO concern","Establishing a side wall (H -3.6 m, W - 0.3 m, L - 7.62 m)"
"3","510","Idampitiya","No special issues reported",,,,
"4","511 F","Ketahira","No special issues reported",,,,
"5","511","Manakola","Bund erosion/soil sloughing - Behind the \"Sewa Piyasa\"","7.077717","80.786292","Needs NBRO concern","Establishing a Rubble masonry retaining wall/side wall (L - 20 m, H - 1.8 m, W - 0.6 m)"
"6","511 B","Marthuwela","No special issues reported",,,,
"7","511 C","Rathyaya",,,,,
"8","510 A","Uda Padiyapelella","The binds of the upper lands eroded to the road/soil sloughing - Both sides of the Kandy-Padiyapelella Road","7.096971","80.797324","Needs NBRO concern","Risky soil colloids and rocks need to be removed"
,,,,,,,"Upper reservations need to be conserved"
,,,,,,,"Perennial trees shall be planted in private lands. (E.g. Jack, Bread fruit)"
"9","510 B","Okandagala","No special issues reported",,,,
