"Table 5.40: Timeframe for the implementation","","","","","","","","","","","","","","",""
"X","Activities","X2025","X2026","X2027","Responsibility","Supervision","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8"
,,"Yala","Maha","Yala","Maha","Yala","Maha",,,,,,,,
"1","Supporting Export agricultural crops",,,,,,,,,,,,,,
"1.1","Identification of farmers and conduct basic awareness on cultivation of export agriculture crops",,,,,,,"MDMWPC/ EO","AD (P)",,,,,,
"1.2","Make Initial arrangement with Dept. of Export Agriculture for supply of Plants.",,,,,,,"AD (P)","DS",,,,,,
"1.3","Supply and distribution of plants (Pepper, coffee, ginger)",,,,,,,"EO(DEA)","AD (P)",,,,,,
"1.4","Conducting awareness quality improvement and minimizing of post-harvest losses",,,,,,,"EO","ADO",,,,,,
"1.5","Monitoring and supervision",,,,,,,"MDMWPC","EO (DEA)",,,,,,
"2","Supporting paddy cultivation",,,,,,,,,,,,,,
"2.1","Identification and signing of MoU with selected farmers",,,,,,,,,,,,,"MDMWPC","ADO"
"2.2","Conducting basic awareness of “Parachute method”",,,,,,,,,,,,,"AI","ADO/AD (P)"
"2.3","Arranging of farmers contribution (50% of the cost)",,,,,,,,,,,,,"MDMWPC","AD (P)"
"2.4","Supply and distributions of seed planting trays",,,,,,,,,,,,,"ADO","AD (P)"
"2.5","Monitoring and supervision",,,,,,,,,,,,,"MDMWPC","AI"
"3","Supporting for protection of crops from animals",,,,,,,,,,,,,,
"3.1","Identification and signing of MoU with selected farmers",,,,,,,,,,,,,"MDMWPC","ADO"
"3.2","Conduct awareness on agricultural crop protection from wild animals",,,,,,,,,,,,,"AI","ADO"
"3.3","Arranging of farmer contribution (50% of the cost)",,,,,,,,,,,,,"MDMWPC","ADO/AD (P)"
"3.4","Supply and distributions of electric fence (Viduli Pambaya)",,,,,,,,,,,,,"ADO","AD (P)"
"3.5","Monitoring and supervision",,,,,,,,,,,,,"MDMWPC","AI"
"4","Implementation of protected agricultural methods (polytonal)",,,,,,,,,,,,,,
"4.1","Identification and signing of MoU with selected farmers",,,,,,,,,,,,,"AI","AD(P)"
"4.2","Conduct awareness on protected agriculture",,,,,,,,,,,,,"TO","AI"
"4.3","Arranging of farmer contribution (50% of the cost)",,,,,,,,,,,,,"MDMWPC","AI/AD (P)"
"4.4","Supply and distributions of polytonal",,,,,,,,,,,,,"AI","AD (P)"
"4.5","Monitoring and supervision",,,,,,,,,,,,,"MDMWPC","AI"
"5","Supporting fruit cultivation",,,,,,,,,,,,,,
"5.1","Identification farmers and conducting basic awareness on cultivation",,,,,,,,,,,,,"MDMWPC/ AI","ADO"
"5.2","Land preparation for cultivation",,,,,,,,,,,,,"Beneficiaries","AI"
"5.3","Supply and distributions of fruit plants (Banna, Mango, Avocado) to the farmers",,,,,,,,,,,,,"ADO","AD (P)"
"5.4","Monitoring and supervision",,,,,,,,,,,,,"MDMWPC","AI"
"6","Introducing of value addition and new technology",,,,,,,,,,,,,,
"6.1","Identification and signing of MoU with selected farmers/ producers",,,,,,,,,,,,,"MDMWPC","AD (P)"
"6.2","Conducting basic awareness on processing",,,,,,,,,,,,,"Supplier/ Line agency","AD (P)"
"6.3","Supply and distributions of following machine and Equipment to the farmers and producers -  Curry powder grinding, Bee keeping units.",,,,,,,,,,,,,"AD (P)","DS"
"6.4","Monitoring and supervision",,,,,,,,,,,,,"MDMWPC","AD (P)"
"7","Supporting animal husbandry",,,,,,,,,,,,,,
"7.1","Identification and signing of MOU with selected farmers",,,,,,,,,,,,,"MWMC/LDI","Vet. Surgeon"
"7.2","Conducting basic awareness programs",,,,,,,,,,,,,"LDI","Vet. Surgeon"
"7.3","Supply and providing of suitable animals - Cows, Goat, Chicks",,,,,,,,,,,,,"Vet. Surgeon","DS"
"7.4","Providing support to construction of sheds, Sheds – cow, Sheds – goat",,,,,,,,,,,,,"Vet. Surgeon","DS"
"7.5","Monitoring and supervision",,,,,,,,,,,,,"MDMWPC","LDI"
