Type,Items Needed,GNDs Requested,Number,Unit Cost (Rs.),Total Cost (Rs.),Contribution (%) from line agency/ GoSL,Final cost to LA/ GoSL (Rs.)
 Paddy , Tray ," Idampitiya- 350, Rathyaya- 420, Godigamuwa- 200, Manakola- 250 ","1,220",80,"97,600.00",0.5,"48,800.00"
, Electric fence ," Idampitiya- 15,",20,"36,000.00","720,000.00",0.5,"360,000.00"
,," Godigamuwa- 1, Manakola- 4 ",,,,,
 Vegetable , Capsicum ," Idampitiya- 20,",85,"40/perches unit - 20g. 3,000.00","255,000.00",1,"255,000.00"
,,"Rathyaya- 20, Godigamuwa- 20, Manakola- 25 ",,,,,
, Cabbage ," Idampitiya- 10,",55,"40/perches unit - 20g. 6,000.00","330,000.00",1,"330,000.00"
,,"Rathyaya- 10, Godigamuwa- 20, Manakola- 15 ",,,,,
, Green chili ," Idampitiya- 30,",95,"40/perches unit - 50g. 1,500.00","142,500.00",1,"142,500.00"
,,"Rathyaya- 20, Godigamuwa- 20, Manakola- 25 ",,,,,
, Beans ," Idampitiya- 10,",65,"40/perches unit - 1500g. 4,500.00","292,500.00",1,"292,500.00"
,,"Rathyaya- 20, Godigamuwa- 20, Manakola- 15 ",,,,,
, Tomato ," Idampitiya- 10,",50,"40/perches unit - 10g. 6,000.00","300,000.00",1,"300,000.00"
,,"Rathyaya- 15, Godigamuwa- 10, Manakola- 15 ",,,,,
 Fruits , Banana ,"  Rathyaya- 50, Ketahira- 200,Uda Padiyapelella- 150  ",400,120,"48,000.00",1,"48,000.00"
, Avocado , Rathyaya- 100 ,100,200,"20,000.00",1,"20,000.00"
, Mango ," Marthuwela- 25, Rathyaya- 50, Ketahira- 60,Uda Padiyapelella- 60  ",195,300,"58,500.00",1,"58,500.00"
 Export Crops , Coffee ," Ketahira- 800, Godigamuwa- 600,","2,900",30,"87,000.00",1,"87,000.00"
,,"Uda Padiyapelella- 600, Manakola- 500, Deegalahinna- 400 ",,,,,
, Pepper ," Ketahira- 400, Godigamuwa- 300,","1,600",40,"64,000.00",1,"64,000.00"
,,"Uda Padiyapelella- 200, Manakola- 300, Deegalahinna- 400 ",,,,,
, Ginger ," Ketahira- 100, Godigamuwa- 30,",350,18,"6,300.00",1,"6,300.00"
,,"Uda Padiyapelella- 70, Manakola- 80, Deegalahinna- 70 ",,,,,
 Livestock , No of cow ," Marthuwela- 4, Rathyaya- 3, Godigamuwa-2  ",9,"250,000.00","2,250,000.00",0.5,"1,125,000.00"
, No of chicks ," Ketahira- 100, Godigamuwa- 30,",280,"1,500.00","420,000.00",0.5,"210,000.00"
,,"Uda Padiyapelella- 70, Manakola- 60, Deegalahinna- 20 ",,,,,
, No of sheds - cow ," Rathyaya - 2, Ketahira- 2,",6,"300,000.00","1,800,000.00",0.5,"900,000.00"
,,Godigamuwa- 2 ,,,,,
 Protected Agriculture , Polytunnel ," Marthuwela- 3, Deegalahinna- 3, Rathyaya- 2 ",8,"700,000.00","5,600,000.00",0.5,"2,800,000.00"
 Value added products , Bee keeping (Box 4000/=  bees) ," Idampitiya- 5, Rathyaya -3, Ketahira-10 ",18,"8,000.00","144,000.00",0.75,"108,000.00"
, Black Pepper making machines," Idampitiya- 4, Rathyaya -3,",15,"10,000.00","150,000.00",0.5,"75,000.00"
,,Ketahira-8 ,,,,,
, White pepper production machines ," Idampitiya- 1, Rathyaya -1,",4,"55,000.00","220,000.00",0.5,"110,000.00"
,,Ketahira-2 ,,,,,
, Curry powder grinding ," Ketahira- 2, Godigamuwa- 2,",8,"120,000.00","960,000.00",0.5,"480,000.00"
,,"Uda Padiyapelella- 2, Manakola- 2 ",,,,,
 Total Cost ,,,,,"13,965,400.00",,"7,820,600.00"
