ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,geojson,Year
1,MWS-018-2,Proposal,Soil and Water Conservation,Key activities proposed for soil and water conservation in MWS-018-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_1.csv,
2,MWS-018-3,Proposal,Soil and Water Conservation,Details of Reported landslides in MWS-018-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_2.csv,
3,MWS-018-4,Proposal,Minor tanks restoration,Details of minor tank available in MWS-018-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_3.csv,
4,MWS-018-5,Proposal,Minor tanks restoration,Salient details of Rookwood Bangalawa wewa in MWS-018-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_4.csv,
5,MWS-018-6,Proposal,Minor tanks restoration,Details of Rookwood Bangalawa wewa and Akkara panaha wewa related environmental improvement cost in MWS-018-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_5.csv,
6,MWS-018-7,Proposal,Minor tanks restoration,Detail summary of minor tanks restoration and repair costs in MWS-018-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_6.csv,
7,MWS-018-8,Proposal,Minor tanks restoration,Implementation schedule of Rookwood Bangalawa wewa in MWS -018-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_7.csv,
8,MWS-018-9,Proposal,Water quality improvement,Details related to water pollution in MWS-018-2 belongs to the Hanguranketha DS Division,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_8.csv,
9,MWS-018-10,Proposal,Stream reservation,Brief description of legal provisions,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_9.csv,
10,MWS-018-11,Proposal,Stream reservation,Unit rates of different vegetative cover-improving methods,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_10.csv,
11,MWS-018-12,Proposal,Stream reservation,Unit rates of different reservation protection methods,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_11.csv,
12,MWS-018-13,Proposal,Product and entrepreneurships developments,Unit rates of different options for canal rehabilitation,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_12.csv,
13,MWS-018-14,Proposal,Product and entrepreneurships developments,Unit rates of garbage traps and culverts,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_13.csv,
14,MWS-018-15,Proposal,Product and entrepreneurships developments,"Unit rates of SABO dams, Storage tanks, Leader drains, etc.",,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_14.csv,
15,MWS-018-16,Proposal,Forest management,Total Cost Estimate for Stream Reservation Proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_15.csv,
16,MWS-018-17,Proposal,Forest management,Time frame for implementing stream reservation activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_16.csv,
17,MWS-018-18,Proposal,Forest management,Potential for tourism development and promotion in the area,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_17.csv,
18,MWS-018-19,Proposal,Forest management,Cost estimates and Time frame,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_18.csv,
19,MWS-018-20,Proposal,Forest management,Vegetation types in the MWS-018-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_19.csv,
20,MWS-018-21,Proposal,Forest management,Dominant species found in the natural vegetation in Upper Mahaweli Watershed,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_20.csv,
21,MWS-018-22,Proposal,Forest management,Some characteristic species recorded in MWS-018-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_21.csv,
22,MWS-018-23,Proposal,Forest management,Deforestation and degradation drivers in the MWS-018-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_22.csv,
23,MWS-018-24,Proposal,Forest management,Forest reserves and their protection status in MWS-018-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_23.csv,
24,MWS-018-25,Proposal,Forest management,Forest Plantation in the MWS-018-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_24.csv,
25,MWS-018-26,Proposal,Forest management,Causes of forest fires in the MWS-018-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_25.csv,
26,MWS-018-27,Proposal,Forest management,"Suitable species for restoration, live fences for fire management and home garden enrichment",,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_26.csv,
27,MWS-018-28,Proposal,Forest management,Stakeholder involvement in the MWS-018-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_27.csv,
28,MWS-018-29,Proposal,Forest management,Log frame for forest management in the mini watershed,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_28.csv,
29,MWS-018-30,Proposal,Forest management,Proposed interventions MWS-018-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_29.csv,
30,MWS-018-31,Proposal,Tea land management,Key stakeholders of Tea lands,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_30.csv,
31,MWS-018-32,Proposal,Tea land management,Estimated cost to be incurred for planting one hectare of tea lands,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_31.csv,
32,MWS-018-33,Proposal,Tea land management,Three year plan MWS-018-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_32.csv,
33,MWS-018-34,Proposal,Tea land management,Total estimated cost of production for the three-year period,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_33.csv,
34,MWS-018-35,Proposal,Livelihood improvement,Risk mitigation plans providers,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_34.csv,
35,MWS-018-36,Proposal,Livelihood improvement,Cost estimation of livelihood development activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_35.csv,
36,MWS-018-37,Proposal,Livelihood improvement,Timeframe for the implementation,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_018_2/Table_6_36.csv,
