"Table 6.20: Cost estimates and Time frame","","","","","","","","","","","",""
"X","Item","Responsibility","Supervision","Total Cost  LKR","GOSL LA Contr","GOSL LA Contr   LKR","Year","NA","NA  1","NA  2","NA  3","NA  4"
,,,,,,,"25","26","27",,,
,"Marketing /Product/ Entrepreneurship Development",,,,,,,,,,,
"1","Marketing and Development of Agricultural products",,,,,,,,,,,
"1.1","Mapping of value chain and collection/processing centres","LUPO","AD (P)","25000","100%","25000",,,,,,
"1.2","Forming producer associations/Farmer groups","AD (P)/ AI/ LDI/ EDO","AD (P)","15000","100%","15000",,,,,,
"1.3","MoUs with Line Agencies","DS","DS","25000","75%","12500",,,,,,
"1.4","Contract Buying/ Sales Agreements - Local/Export firms","DS/Private sector","DS","25000","75%","12500",,,,,,
"1.5","Packaging and Branding",,,,,,,,,,,
"1.5.1","Agreement with IDB for branding","IDB","AD (P)",,,,,,,,,
"1.5.2","Contracts with the private sector for branding","AD (P)/Firms","AD (P)","25000","50%","12500",,,,,,
"1.6","Monitoring & Evaluation","AD (P)","AD (P)",,,,,,,,,
"2","Tourism Development",,,,,,,,,,,
"2.1","MoUs with Line Agencies","DS","DS",,,,,,,,,
"2.2","Promote MWS tourism on existing websites",,"DS",,,,,,,,,
"2.3","Agreements with private-sector firms",,"AD (P)","50000","50%","25000",,,,,,
"2.4","Tourism infrastructure Development",,"AD (P)","50000","100%","25000",,,,,,
"2.5","Monitoring and Evaluation","MWPC","AD (P)",,,,,,,,,
,"Total",,,"215000",,"127500",,,,,,
