No,Activity,Number of trainings,Duration in Days,Total # of Participants,Total cost (RS),Con. From DSD(RS)/Institution,Project Con.(RS),Proposed training Partner
1,"Project Awareness and Orientation Program (MWS-002-2,009, 010, 011,012,013,014,018-2 and 020-2) ",Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,PMU
2,Training of Trainers (for selected officers at DSD level),Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,DOA/TBD
3,Water Management Training for the Development Officer of DAD ,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,DAD/ KITI
4,Agriculture productivity improvement training for ARPAs and EDOs,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,NRMC+ DEA
5,Good Practices of Agrochemical Application Training for ARPA and EDOs,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,DOA/ NRMC/University
6,Climate Change Adaptation Training for MWMC (including technical committee members) ,1,1,18,"61,920","2,500","59,420",DOA/University
7,Construction Supervisory – Basic Training for Economic Development Officers,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,District Engineer of District Secretariat
8,Water Quality Parameters and Testing Training for EDO ,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,NWS&DB/NRMC
9,Forest Fire Prevention and Control Training for officers of Forest Department at Nuwara Eliya District,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,Forest Department
10,Use of RS and GIS in Watershed management for Officers of Forest Department at Nuwara Eliya District,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,Forest Department
11,Forest Restoration training for officers of Forest Department at Nuwara Eliya District,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,Forest Department
12,Integrated Watershed Management training for Officers of Forest Department at Nuwara Eliya District,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,Forest Department
13,Domestication and use of wild species for watershed management for officers of Forest Department at Nuwara Eliya District,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,Forest Department
14,Training for Teachers on Environmental Conservation and Social Responsibility: Protecting the Environment- For Teachers  (Hanguranketha DSD),Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,DOA/ NRMC/University
15,Training EDOs and SDOs to conduct cascading training on Financial Literacy and Household Money Management (ToT) ,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,CBSL Matale Regional office/CBSL HO
Training for Communities,,,,,,,,
16,"Exposure Visits to “A Park” for GPC, MDMWMC Members and Farmer Leaders Selected by ARPA. One visit/GND",Budget was allocated under MWS-010 (Hanguranketha),,,,,,Agriculture Park DoA
17,Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND,Budget was allocated under MWS-010 (Hanguranketha),,,,,,NRMC/DOA
18,Good Practices in Agrochemicals Application for GPC Community Members and Identified Farmers,Budget was allocated under MWS-010 (Hanguranketha),,,,,,DOA
19,Important of Home Garden Improvement for watershed Management (All (9 MWM in Hanguranketha DSD),Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,Forest Department
20,Conduct Field Day for Soil and Water Conservation Practice for GPC Community leaders and Farmers,Budget was allocated under MWS-010 (Hanguranketha),,,,,,"AI, AR&PA and EDO/Natural Resources Management Centre"
21,"Field Day - for best practices in the usage of pesticides, integrated pest control, and fertilizer applications for GPC community members and identified farmers. One training/GND",Budget was allocated under MWS-010 (Hanguranketha),,,,,,"AI, AR&PA and EDO"
22,Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD,Budget was allocated under MWS-010 (Hanguranketha),,,,,,DOA/NRMC
23,Green Skill and Green Technology Concept for Youth and GPC members ,Budget was allocated under MWS-010 (Hanguranketha),,,,,,DOA
24,Climate Change Adaptation training for GPC and selected farmers,Budget was allocated under MWS-010 (Hanguranketha),,,,,,"AI,EDO"
25,Conduct Field Day on Climatic Training Adaptation,Budget was allocated under MWS-010 (Hanguranketha),,,,,,AI & EDO
26,Forest Fire Prevention and Control GPC and community members,Budget was allocated under MWS-010 (Hanguranketha),,,,,,Forest Department
27,Responsible use of water resources for GPC/GWMC and community members,Budget was allocated under MWS-010 (Hanguranketha),,,,,,Forest Department
28,Important of environment conservation and social responsibility of community- For Student (Grade 11 and Above at Hanguranketha DSD),Budget is not required,,,,,,Teachers
29,Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members on Women Development Organization (WDOs),Budget was allocated under MWS-010 (Hanguranketha),,,,,,EDOs and SDO
30,Conduct Refresher Training on Household Money Management for GPC and Community Members ,Budget was allocated under MWS-010 (Hanguranketha),,,,,,EDO and SDO
31,Career Guidance & Career Fair Event (Hanguranketha DSD) ,Budget was allocated under MWS-002-2 (Hanguranketha),,,,,,Skills Development Officer & Human Resources Development Assistant of DSD
32,Gender and Social Inclusion Training ,Budget was allocated under MWS-010 (Hanguranketha),,,,,,TBD
33,Community Training - livelihood and Marketing,,,,"40,000",,"40,000",
,Total Estimated budget ,,,,"101,920","2,500","99,420",
