Name,Work description,Qty,,Rate,Amount (LKR)
Bangalawa Wewa and Akkara Panaha Wewa,1. Dense planting of mixed vegetation comprising Kumbuk/ Mee/ Madan /Nelli /Guava /Mango/Aththikka/Wal del/ Kekuna randomly mixed seedlings at 500 mm grid intervals for 2500 m2. ,50x(50m2),26700,,"1,602,000"
,"And apply mulching, organic manure, and NPK fertilizer.",,,,
,"2. Planting of Areca nut trees, Vetiver grass, and riparian plants. The covered area is 1500 m2.",,,,
,3.Agro forestry fruits and associated shade tree planting. Covered area 3000 m2,,,,
,4. Construction of 10 numbers or more of 3mx2mx1m Sabo dams using available boulders.,,,,
,5.Excavate and remove sediment deposits and earth of tank bed. (DAD J05A+J06A) Estimated qty 950 m3,,,,
,6.Transport of excavator J10A,,,,
,"7. Capacity building programs on agro forestry, poly tunnels, micro irrigation etc. ",30x(50m2),23500,,"705,000"
,,60x(50m2),12000,,"720,000"
,,10 nos,90000,,"900,000"
,,500 m3,631,,"599,450"
,,1 way,18500,,"23,550"
,,Item allow,,,"300,000"
Total,,,,,"4,850,000"
