"Table 6.6: Salient details of Rookwood Bangalawa wewa in MWS-018-2","",""
"Tank Name","Bangalawa wewa","Akkara Panaha wewa"
"GN","Rookwood","Rookwood"
"MWS","018-2","018-2"
"DS","Hanguranketha","Hanguranketha"
"District","Nuwara Eliya","Nuwara Eliya"
"Ownership","JEDB","JEDB"
"Year of Construction","Before 1985","Before 1985"
"Location (Lat)","7.10277","7.09009"
"Location (Lon)","80.75558","80.76095"
"Hydrological zone",,
"Water Surface Area (approx.) (sq.m)","1450","525"
"Catchment Area (gross) (km2)","<Null>",
"Catchment Area (net) (km2)","<Null>",
"Total command area (ha)","<Null>",
"Farm Organization","<Null>",
"F.O. registration number","<Null>",
"Reservations are available or not","yes",
"Reservations are marked or not","no",
"Bund","Earthen + Masonry","Earthen"
"Bund Length (m)","20m","50m"
"Top width (m)","2.5m","3m"
"Visible bund height (m)","2.5m","2m"
"US & DS slopes (h/b)",,"1:2"
"Availability of rip rap","<Null>",
"Spillway",,
"Station (km+m)","Middle","Middle"
"Type","CO","Natural"
"Length (m)","10m","10m"
"Observed Afflux (m)","-","-"
"Duration of spilling (days)","Perennial",
"Sluices",,
"No of Sluices (nos)","1","1"
"Station/s (km+m)","<Null>","Null>"
"Type/s","Head wall type","Head wall type"
"Barrel size/s (mm)","150","150"
"command area of the sluice (ha)","<Null>","<Null>"
"Observations / Damages","Desilting (1000 sqm x0.6m deep)","Desilting (500sqm x0.8m deep)"
"Recommendation","Stream regulation by SABO dams, Reforestation about (1Ha for both), Introduction of agro forestry, Capacity building, Periodic desilting","Stream regulation by SABO dams, Reforestation, Introduction of agro forestry, Capacity building, Periodic desilting"
