"Table 2.6: Age group categorization of the population of MWS-019 (GN-wise)","","","","","","","","","","","","","",""
"GND No","GND Name","X0 4","X5 9","X10 14","X15 19","X20 24","X25 29","X30 34","X35 39","X40 44","X45 49","X50 54","X55 59","Above 60 years"
"479A","Alawattegama","56","25","19","48","52","59","62","71","64","64","60","58","120"
"481A","Bodhimalkada","36","49","55","61","52","76","87","71","77","58","74","50","215"
"484A","Bogamuwa","55","60","76","71","83","92","69","61","56","52","45","51","135"
"481","Dehipe","45","50","75","68","51","58","40","52","55","50","52","39","151"
"482","Denike","35","54","61","61","76","54","39","59","68","44","56","58","169"
"481B","Deniyagama","36","40","36","40","34","47","38","45","34","37","51","44","159"
"483A","Ehelamalpe","33","51","58","53","54","61","47","36","50","44","51","47","132"
"479B","Kaluattanagolla","53","54","49","54","49","46","45","43","45","49","53","55","135"
"484C","Palle Makuruppa","31","31","36","26","24","19","30","32","34","21","28","23","71"
"484","Pallewela1","13","28","40","43","42","49","32","27","32","49","41","35","95"
"481C","Rathukurusa Janapadaya","44","73","69","80","51","64","58","50","59","54","57","46","117"
"484B","Uda Makuruppa","78","82","65","54","53","74","82","83","48","60","46","56","237"
"482A","Udalumada","53","78","79","76","64","61","64","78","53","58","74","73","163"
"482C","Udawela Pathana","37","23","26","28","32","33","36","31","30","37","32","22","79"
"479","Wadawala","31","34","20","44","73","53","41","28","47","44","49","35","127"
"482B","Welampagoda","25","48","52","53","51","64","47","43","46","39","42","43","132"
"481D","Welapahala","40","59","62","44","39","45","53","50","52","57","63","41","68"
"483","Wilwala","52","80","69","79","50","56","56","68","63","61","53","48","152"
,"Total","753","919","947","983","930","1011","926","928","913","878","927","824","2457"
