"Table 2.7: Occupational details of the community of MWS-019 (GN-wise)","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8"
,,"Government","Semi Government","Private","Self-Occupied","Estate worker","Agriculture","Laborer","Foreign employment","Other","Unemployed"
"479A","Alawattegama","85","2","120","20","0","130","0","6","0","30"
"481A","Bodhimalkada","53","72","72","42","0","97","65","5","15","125"
"484A","Bogamuwa","89","0","120","21","0","139","0","2","0","49"
"481","Dehipe","25","4","33","18","0","65","28","7","0","0"
"482","Denike","104","12","76","11","0","131","5","9","0","26"
"481B","Deniyagama","69","3","100","15","0","200","75","6","0","20"
"483A","Ehelamalpe","58","5","62","2","18","119","12","11","35","43"
"479B","Kaluattanagolla","62","8","38","12","0","85","25","6","16","35"
"484C","Palle Makuruppa","54","0","40","10","0","100","10","6","20","40"
"484","Pallewela1","47","1","62","42","0","152","19","7","0","12"
"481C","Rathukurusa Janapadaya","66","2","80","56","10","89","48","15","6","80"
"484B","Uda Makuruppa","203","48","83","14","0","82","96","7","93","32"
"482A","Udalumada","102","0","90","5","0","200","0","2","0","0"
"482C","Udawela Pathana","46","6","44","11","0","15","0","4","0","16"
"479","Wadawala","54","12","68","15","0","65","2","9","0","40"
"482B","Welampagoda","83","7","63","25","0","105","12","7","0","25"
"481D","Welapahala","48","11","85","14","0","138","11","5","0","48"
"483","Wilwala","48","1","95","12","13","90","0","10","0","15"
,"Total","1296","194","1331","345","41","2002","408","124","185","636"
