"Table 5.2: Key ON- FARM activities proposed for soil and water conservation in MWS-019","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","479A","Alawaththegama","1. Soil conservation practices - Alawattegama Huriwela (50°)","3","7.135089","80.792228","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Huriwela (80°)","1","7.134465","80.792597","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Alawattegama (85°)","1","7.134401","80.793121","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","6,125,000",,,,,,,,,,,
"2","479B","Kaluaththanagolla","1. Soil conservation practices - Wadawala Primary School  (45°)","5","7.126635","80.796869","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Near Primary School (50°)","4","7.1269661","80.7968472","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Kalu Attanagolla  (65°)","3","7.126756","80.798277","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Kopiwatta  (45°)","1","7.125147","80.791897","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","3,250,000",,,,,,,,,,,
"3","479","Wadhawala","1. Soil conservation practices - Ranhinda  (50°)","1","7.126707","80.793521","14 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","3,500,000",,,,,,,,,,,
"4","481 A","Bodhimalkada","1. Soil conservation practices - Algama  (30°)","3","7.113656","80.793784","1 ha","lock and spills and stone terracing/Live fencing/SALT, as applied","400 m-1","400,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Pitawala (65°)","1","7.113872","80.795733","3.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","875,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Pitawala  (60°)","3","7.11211","80.795786","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices -Near Meda torrent  (70°)","4","7.116387","80.794274","2.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","625,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","2,025,000",,,,,,,,,,,
"5","481 B","Deniyagama","1. Soil conservation practices - Deniyagama  (70°)","4","7.115284","80.792377","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Galuke  (75°)","1","7.113883","80.787675","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Galuke  (80°)","5","7.114988","80.789093","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Galuke  (85°)","5","7.113868","80.790957","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Aguruella  (65°)","3","7.112865","80.790035","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices - Aguruella  (70°)","3","7.111113","80.789046","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
,,,"7. Soil conservation practices - Ballan Ella  (75°)","4","7.113963","80.790374","0.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","62,500","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","3,312,500",,,,,,,,,,,
