"Table 5.21: Summary of costs for Rehabilitation and improvements to minor tanks","",""
"Tank name","Location details","Tentative Estimate  LKR"
"Dehigolla Wewa","7.115079 N, 80.785961 E","842,688"
"Uduwela Pathana Wewa","7.141659N, 80.781828E","1,024,320"
"Rathland Wewa","7.122562N, 80.784029E","1,584,000"
"Nikathenna Wewa","7.134434N, 80.805781E","476,520"
"Illaketiya Wewa","7.144085N, 80.788898E","715,968"
"Dewale Wewa","7.14298N, 80.79618E","555,720"
"Kumbukwala Wewa","7.127949N, 80.814605 E","594,000"
"Nikaulpatha Wewa","7.132097 N, 80.806323 E","554,400"
"Gonanwatta Ihala Wewa","7.15345 N, 80.80336 E","1,056,000"
"Gonanwatta Pahala Wewa","7.14962 N, 80.80464 E","844,800"
"Mahapitiya Wewa","7.14111 N, 80.78739 E","858,792"
"Total",,"9,107,208"
